ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_canola_oil,Canola Oil,oil,seed oil,rapeseed oil|vegetable oil,plant,frying and texture,mayonnaise|snacks|baking,modern,Neutral flavor and high availability make it common in packaged foods.,Refining and sourcing details matter.,draft
ing_soybean_oil,Soybean Oil,oil,seed oil,soy oil|vegetable oil,plant,frying and texture,dressings|snacks|margarine,modern,A common oil in industrial food manufacturing.,Soy allergen context depends on refinement.,needs_source
ing_corn_oil,Corn Oil,oil,seed oil,maize oil,plant,frying and texture,shortening|snacks|dressings,modern,Extracted from corn germ rather than the starchy kernel.,Often refined for neutral flavor.,draft
ing_sunflower_oil,Sunflower Oil,oil,seed oil,high oleic sunflower oil,plant,frying and texture,chips|dressings|baked goods,modern,High-oleic versions have different fatty acid profiles.,Different versions should be separated when possible.,draft
ing_safflower_oil,Safflower Oil,oil,seed oil,high oleic safflower oil,plant,fat and frying,snacks|dressings|baking,modern,Safflower oil may be high-linoleic or high-oleic depending on cultivar.,Variant matters for nutrition analysis.,draft
ing_cottonseed_oil,Cottonseed Oil,oil,seed oil,cotton oil,plant,frying and shortening,snacks|fried foods|shortening,modern,Historically important in shortening and snack foods.,Quality and refining matter.,needs_source
ing_palm_oil,Palm Oil,oil,tropical oil,palm fat|palm fruit oil,plant,texture and shelf stability,cookies|spreads|instant noodles,ancient,Naturally semi-solid and useful for replacing partially hydrogenated fats.,Sustainability and saturated fat notes should be separated.,draft
ing_palm_kernel_oil,Palm Kernel Oil,oil,tropical kernel oil,palm kernel fat,plant,firm fat and confectionery texture,icings|fillings|candy,modern,Comes from the palm seed kernel not the fruit flesh.,Different composition from palm oil.,draft
ing_coconut_oil,Coconut Oil,oil,tropical oil,coconut fat,plant,flavor and firm fat,baking|popcorn|plant-based foods,ancient,Coconut oil is solid at cool room temperatures because of its fat profile.,High in saturated fat.,draft
ing_olive_oil,Olive Oil,oil,fruit oil,extra virgin olive oil|virgin olive oil,plant,flavor and fat,dressings|sauces|marinades,ancient,Pressed from olives rather than seeds.,Smoke point depends on refinement and quality.,draft
ing_avocado_oil,Avocado Oil,oil,fruit oil,refined avocado oil,plant,frying and flavor,dressings|sauteing|premium snacks,modern,Extracted from avocado pulp and often marketed as a premium oil.,Adulteration and quality claims may need review.,needs_source
ing_peanut_oil,Peanut Oil,oil,legume oil,groundnut oil,plant,frying,fries|stir fry|snacks,ancient source modern refined,Peanut oil is prized for frying in some cuisines.,Peanut allergen relevance depends on refinement and labeling rules.,needs_source
ing_sesame_oil,Sesame Oil,oil,seed oil,toasted sesame oil|gingelly oil,plant,flavor and fat,sauces|noodles|dressings,ancient,Toasted sesame oil is used more as flavor than neutral cooking oil.,Sesame allergen flag may apply.,needs_source
ing_rice_bran_oil,Rice Bran Oil,oil,bran oil,rice oil,plant,frying and texture,snacks|frying|dressings,modern,Made from the bran layer removed during rice milling.,Often refined for high-heat use.,draft
ing_grapeseed_oil,Grapeseed Oil,oil,seed oil,grape seed oil,plant,frying and dressings,dressings|mayonnaise|sauteing,modern,Uses seeds left from grape processing.,Generally neutral tasting.,draft
ing_lard,Lard,fat,animal fat,pork fat,animal,frying and pastry texture,pastry|beans|traditional frying,ancient,Lard gives flaky texture in some pastries.,Not vegetarian halal or kosher for many consumers.,draft
ing_tallow,Tallow,fat,animal fat,beef fat|mutton fat,animal,frying and texture,fries|traditional cooking|suet,ancient,Tallow was historically common before vegetable shortenings dominated.,Dietary and religious restrictions may apply.,draft
ing_ghee,Ghee,fat,clarified butter,clarified butter oil,animal,fat and flavor,curries|frying|baking,ancient,Ghee is butterfat clarified to remove much water and milk solids.,Milk allergen status depends on trace proteins and labeling.,needs_source
