ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_black_pepper,Black Pepper,spice,peppercorn,piper nigrum|pepper,plant,heat and aroma,seasoning blends|meats|sauces,ancient,Black pepper was historically one of the most valuable global spices.,Usually used in small amounts.,draft
ing_white_pepper,White Pepper,spice,peppercorn,white peppercorn,plant,heat and aroma,soups|sauces|seasonings,ancient,White pepper is made from ripe peppercorns with the outer layer removed.,Flavor differs from black pepper and can be earthy.,draft
ing_cayenne,Cayenne Pepper,spice,chili pepper,cayenne|red pepper,plant,heat,chili|sauces|seasoning blends,modern from ancient chili use,Cayenne heat comes from capsaicinoids.,Capsaicin sensitivity varies.,draft
ing_paprika,Paprika,spice,ground pepper,sweet paprika|smoked paprika,plant,color and mild pepper flavor,stews|sausages|snacks,modern,Paprika can be sweet smoked or hot depending on pepper type.,Heat level is not obvious from the name alone.,draft
ing_chili_powder,Chili Powder,spice,spice blend,chilli powder|chile powder,plant,heat and flavor,chili|rubs|snacks,modern,Chili powder may be pure ground chiles or a spice blend depending on region.,Blend ingredients may include allergens or anti-caking agents.,draft
ing_cinnamon,Cinnamon,spice,bark spice,cassia|ceylon cinnamon,plant,warm sweet aroma,baking|cereal|drinks,ancient,Cinnamon comes from tree bark and has several commercial species.,Cassia and Ceylon differ in coumarin levels; source review needed.,needs_source
ing_nutmeg,Nutmeg,spice,seed spice,myristica fragrans,plant,warm aroma,baking|eggnog|sauces,ancient,Nutmeg is the seed while mace is the seed covering from the same fruit.,Large doses can be toxic; food-use context matters.,needs_source
ing_mace,Mace,spice,aril spice,nutmeg aril,plant,warm aroma,baking|sauces|spice blends,ancient,Mace comes from the lacy covering around the nutmeg seed.,Use neutral culinary wording.,draft
ing_clove,Clove,spice,flower bud spice,cloves|eugenol spice,plant,warm pungent aroma,baking|pickles|spice blends,ancient,Cloves are dried flower buds and are rich in eugenol aroma.,Essential-oil claims should be avoided unless sourced.,needs_source
ing_allspice,Allspice,spice,berry spice,pimento|jamaica pepper,plant,warm spice aroma,baking|jerk seasoning|pickles,modern Americas,Allspice is a single spice that tastes like a blend of cinnamon clove and nutmeg.,Not the same as mixed spice.,draft
ing_ginger,Ginger,spice,rhizome spice,ginger root|dried ginger,plant,warm pungent aroma,baking|tea|sauces,ancient,Ginger flavor changes when dried cooked or candied.,Wellness claims require source review.,needs_source
ing_turmeric,Turmeric,spice,rhizome spice,curcuma|curcumin spice,plant,yellow color and earthy flavor,curries|mustard|rice,ancient,Turmeric is both a spice and a natural color source.,Supplement-level curcumin claims differ from food spice use.,needs_source
ing_cumin,Cumin,spice,seed spice,cuminum cyminum,plant,earthy aroma,taco seasoning|curries|chili,ancient,Cumin is widely used across Middle Eastern Indian Latin American and North African cooking.,Usually used in small amounts.,draft
ing_coriander_seed,Coriander Seed,spice,seed spice,coriander|cilantro seed,plant,citrusy warm aroma,curries|sausages|pickles,ancient,Coriander seed and cilantro leaf come from the same plant but taste different.,Some people dislike cilantro leaf because of genetics; seed is different.,draft
ing_cilantro,Cilantro,herb,leaf herb,coriander leaf|fresh coriander,plant,fresh herbal flavor,salsa|curries|salads,ancient,Cilantro has a genetic soap-taste divide for some people.,Not usually a safety concern.,draft
ing_parsley,Parsley,herb,leaf herb,flat leaf parsley|curly parsley,plant,fresh herbal flavor,soups|salads|garnish,ancient,Parsley is more than garnish and can be a major flavor in tabbouleh.,High vitamin K content may matter only in medical contexts.,needs_source
ing_basil,Basil,herb,leaf herb,sweet basil|thai basil,plant,sweet herbal aroma,pesto|tomato sauce|salads,ancient,Basil has many varieties with distinct aroma profiles.,Usually low concern as food.,draft
ing_oregano,Oregano,herb,leaf herb,wild marjoram,plant,herbal aroma,pizza|sauces|seasoning blends,ancient,Oregano is strongly associated with Mediterranean and Mexican cuisines.,Essential oil claims should not be inferred from herb use.,needs_source
ing_thyme,Thyme,herb,leaf herb,thymus vulgaris,plant,herbal aroma,soups|roasts|seasonings,ancient,Thyme's aroma is linked to thymol and related compounds.,Food-use amounts are distinct from essential oils.,needs_source
ing_rosemary,Rosemary,herb,leaf herb,rosmarinus officinalis,plant,piney herbal aroma,roasts|bread|marinades,ancient,Rosemary extracts can also be used as antioxidants in foods.,Concentrated extracts should be tracked separately.,needs_source
ing_sage,Sage,herb,leaf herb,salvia officinalis,plant,savory herbal aroma,stuffing|sausages|butter sauces,ancient,Sage is strongly aromatic and often paired with rich fatty foods.,Concentrated oils differ from culinary use.,needs_source
ing_dill,Dill,herb,leaf and seed herb,dill weed|dill seed,plant,fresh herbal flavor,pickles|fish|dressings,ancient,Dill weed and dill seed have different flavor profiles.,Usually low concern as food.,draft
ing_mint,Mint,herb,leaf herb,peppermint|spearmint,plant,cooling aroma,tea|desserts|sauces,ancient,Menthol gives peppermint its cooling sensation.,Concentrated mint oils differ from leaves.,needs_source
ing_bay_leaf,Bay Leaf,herb,leaf herb,laurel leaf,plant,background aroma,soups|stews|sauces,ancient,Bay leaves are usually removed before eating because they stay tough.,Whole leaves can be sharp; remove before serving.,draft
ing_fennel_seed,Fennel Seed,spice,seed spice,foeniculum vulgare,plant,licorice-like aroma,sausages|tea|spice blends,ancient,Fennel seed has a sweet anise-like flavor.,Allergy cross-reactivity claims need source review.,needs_source
ing_cardamom,Cardamom,spice,seed pod spice,green cardamom|black cardamom,plant,floral warm aroma,chai|desserts|curries,ancient,Cardamom is among the more expensive spices by weight.,Usually used in small amounts.,draft
ing_star_anise,Star Anise,spice,fruit spice,illicium verum,plant,licorice-like aroma,tea|broths|spice blends,ancient,Star anise is used in five-spice and some broths.,Must not be confused with toxic Japanese star anise in sourcing contexts.,needs_source
ing_saffron,Saffron,spice,flower stigma,crocus sativus,plant,color and floral aroma,rice|desserts|sauces,ancient,Saffron is costly because it is made from hand-harvested flower stigmas.,Adulteration is common enough to consider source-quality notes.,needs_source
ing_vanilla,Vanilla,flavor_spice,orchid pod,vanilla bean|vanilla extract,plant,sweet aroma,baking|ice cream|drinks,modern global ancient Mesoamerican use,Vanilla comes from an orchid and requires curing to develop aroma.,Imitation vanilla should be categorized separately.,draft
ing_garlic_powder,Garlic Powder,spice,allium powder,dehydrated garlic,plant,savory aroma,seasonings|sauces|snacks,modern from ancient garlic use,Garlic powder is dehydrated and ground garlic.,High-FODMAP concern may matter for some users.,needs_source
ing_onion_powder,Onion Powder,spice,allium powder,dehydrated onion,plant,savory sweetness,seasonings|sauces|snacks,modern from ancient onion use,Onion powder gives savory sweetness and bulk flavor.,High-FODMAP concern may matter for some users.,needs_source
