ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_silicon_dioxide,Silicon Dioxide,anticaking_agent,mineral powder,E551|silica,mineral,keeps powders flowing,spices|seasoning mixes|instant drinks,modern refined,Silicon dioxide helps powdered foods resist clumping.,Used in small amounts as a flow aid.,reviewed
ing_calcium_silicate,Calcium Silicate,anticaking_agent,mineral powder,E552,mineral,keeps powders dry and free-flowing,salt|baking powder|seasonings,modern,Calcium silicate absorbs moisture and helps powders pour more easily.,Usually appears in dry powdered foods.,reviewed
ing_magnesium_carbonate,Magnesium Carbonate,anticaking_agent,mineral carbonate,E504,mineral,keeps powders flowing,salt|powdered mixes|seasonings,modern,Magnesium carbonate can reduce clumping in dry ingredient blends.,Also contributes magnesium in small amounts.,reviewed
ing_tricalcium_phosphate,Tricalcium Phosphate,anticaking_agent,mineral phosphate,E341,mineral,anticaking and calcium source,spices|powdered drinks|fortified foods,modern,Tricalcium phosphate can act as both a flow aid and a calcium-containing ingredient.,Phosphate and calcium roles should be separated in the app display.,reviewed
ing_cellulose_powder,Cellulose Powder,anticaking_agent,plant fiber,powdered cellulose|cellulose,plant,bulking and flow support,shredded cheese|powdered mixes|seasonings,modern,Cellulose powder is plant-derived fiber used for texture flow and anti-caking.,It is not digested like starch or sugar.,reviewed
ing_microcrystalline_cellulose,Microcrystalline Cellulose,carrier,plant fiber,MCC|E460,plant,bulking texture and flow,tablets|powders|reduced-calorie foods,modern,Microcrystalline cellulose is refined plant cellulose used for structure and flow.,Best explained as a texture and carrier ingredient.,reviewed
ing_maltodextrin,Maltodextrin,carrier,starch derivative,dextrin|corn maltodextrin|tapioca maltodextrin,plant,carrier bulking and powder texture,seasoning mixes|drink powders|snacks,modern,Maltodextrin often carries flavors and improves powder texture.,It is a digestible carbohydrate and not a low-calorie fiber.,reviewed
ing_dextrin,Dextrin,carrier,starch derivative,starch dextrin,plant,carrier and texture support,coatings|snacks|powder blends,modern,Dextrins are short starch fragments used for texture binding or carrying flavors.,Source crop may be corn wheat potato or tapioca.,reviewed
ing_glycerin,Glycerin,humectant,polyol,glycerol|E422,mixed,keeps moisture and soft texture,bars|icings|soft candies,modern,Glycerin helps foods stay moist and soft.,Can be plant animal or synthetic depending supplier.,reviewed
ing_propylene_glycol,Propylene Glycol,humectant,solvent carrier,E1520,synthetic,carrier and moisture control,flavors|colors|baked goods,modern,Propylene glycol can carry flavors and help manage moisture in some foods.,Do not confuse with ethylene glycol; they are different substances.,reviewed
ing_polydextrose,Polydextrose,bulking_agent,soluble fiber,E1200,synthetic,bulk and fiber-like texture,reduced-sugar foods|bars|desserts,modern,Polydextrose adds bulk and fiber-like texture with less sweetness than sugar.,Large amounts can affect digestion for some people.,reviewed
ing_sorbitol_syrup,Sorbitol Syrup,humectant,sugar alcohol,E420,mixed,moisture retention and sweetness,baked goods|candy|fillings,modern,Sorbitol syrup helps keep foods moist and adds mild sweetness.,Large amounts may have digestive effects.,reviewed
ing_inulin,Inulin,fiber,soluble fiber,chicory root fiber|oligofructose,plant,fiber enrichment and texture,bars|yogurt|cereals,ancient source modern isolated,Inulin is a soluble fiber often extracted from chicory root.,Can cause gas or bloating for some people.,reviewed
ing_soluble_corn_fiber,Soluble Corn Fiber,fiber,soluble fiber,resistant maltodextrin|corn fiber,plant,fiber enrichment and bulking,bars|drinks|cereals,modern,Soluble corn fiber is used to add fiber and body to processed foods.,Digestive tolerance varies by amount.,reviewed
ing_oat_fiber,Oat Fiber,fiber,insoluble fiber,oat hull fiber,plant,fiber enrichment and texture,bread|bars|cereals,modern,Oat fiber is mostly insoluble fiber used for texture and fiber labeling.,It is different from oat flour or whole oats.,reviewed
ing_wheat_fiber,Wheat Fiber,fiber,insoluble fiber,wheat bran fiber,plant,fiber enrichment and texture,bread|cereals|bars,ancient source modern isolated,Wheat fiber adds structure and fiber to baked foods.,Wheat allergen and gluten-free status must be checked carefully.,reviewed
