ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_alanine,Alanine,amino_acid,nonessential amino acid,L-alanine,mixed,nutrient and protein component,protein powders|sports drinks|supplements,modern isolated,Alanine is a building block of proteins and may appear in amino-acid blends.,Supplement use differs from normal dietary protein.,needs_source
ing_arginine,Arginine,amino_acid,conditionally essential amino acid,L-arginine,mixed,nutrient and functional ingredient,protein powders|bars|supplements,modern isolated,Arginine is often marketed in sports-nutrition products.,Circulation or performance claims need evidence review.,needs_source
ing_asparagine,Asparagine,amino_acid,nonessential amino acid,L-asparagine,mixed,nutrient and protein component,protein foods|supplements,modern isolated,Asparagine is one of the amino acids found in proteins.,Acrylamide formation context should be handled separately.,needs_source
ing_aspartic_acid,Aspartic Acid,amino_acid,nonessential amino acid,L-aspartic acid|aspartate,mixed,nutrient and acidity-related ingredient,supplements|protein products,modern isolated,Aspartic acid is part of proteins and related to some sweetener chemistry.,Avoid implying aspartame is identical to dietary protein.,needs_source
ing_cysteine,Cysteine,amino_acid,conditionally essential amino acid,L-cysteine|cystine,mixed,dough conditioning and nutrient component,bread|bakery|supplements,modern isolated,L-cysteine can be used as a dough conditioner in baking.,Source may be synthetic fermentation or animal-derived depending supplier.,needs_source
ing_glutamic_acid,Glutamic Acid,amino_acid,nonessential amino acid,glutamate|L-glutamic acid,mixed,savory taste and protein component,cheese|tomatoes|seasonings,ancient source modern isolated,Glutamate contributes umami flavor naturally and as added salts.,MSG concerns need source-backed and balanced wording.,needs_source
ing_glutamine,Glutamine,amino_acid,conditionally essential amino acid,L-glutamine,mixed,nutrient and protein component,protein powders|supplements,modern isolated,Glutamine is common in sports and recovery supplement labels.,Health claims require careful review.,needs_source
ing_glycine,Glycine,amino_acid,nonessential amino acid,L-glycine,mixed,sweetness and protein component,collagen|protein powders|supplements,modern isolated,Glycine tastes mildly sweet and is abundant in collagen.,Supplement-dose claims need review.,needs_source
ing_histidine,Histidine,amino_acid,essential amino acid,L-histidine,mixed,nutrient and protein component,infant formula|protein powders|supplements,modern isolated,Histidine is an essential amino acid and can be important in formula contexts.,Needs source-backed nutrition wording.,needs_source
ing_isoleucine,Isoleucine,amino_acid,essential branched-chain amino acid,L-isoleucine|BCAA,mixed,nutrient and protein component,protein powders|sports drinks|bars,modern isolated,Isoleucine is one of the three BCAAs used in sports products.,Performance claims need evidence review.,needs_source
ing_leucine,Leucine,amino_acid,essential branched-chain amino acid,L-leucine|BCAA,mixed,nutrient and protein component,protein powders|sports drinks|bars,modern isolated,Leucine is commonly highlighted in muscle-protein marketing.,Claims need source-backed limits and context.,needs_source
ing_lysine,Lysine,amino_acid,essential amino acid,L-lysine,mixed,nutrient and protein component,cereal fortification|supplements|protein powders,modern isolated,Lysine is an essential amino acid sometimes added to grain-based foods.,Supplement claims need review.,needs_source
ing_methionine,Methionine,amino_acid,essential sulfur amino acid,L-methionine,mixed,nutrient and protein component,infant formula|protein blends|supplements,modern isolated,Methionine contains sulfur and is essential in the diet.,Methylation claims need careful sourcing.,needs_source
ing_phenylalanine,Phenylalanine,amino_acid,essential amino acid,L-phenylalanine,mixed,nutrient and sweetener warning context,protein foods|aspartame-sweetened products|supplements,modern isolated,Phenylalanine matters because aspartame labels warn people with PKU.,PKU warning must be clear and jurisdiction-aware.,needs_source
ing_proline,Proline,amino_acid,nonessential amino acid,L-proline,mixed,nutrient and collagen component,collagen|gelatin|protein powders,modern isolated,Proline is abundant in collagen-rich ingredients.,Beauty or joint claims need review.,needs_source
ing_serine,Serine,amino_acid,nonessential amino acid,L-serine,mixed,nutrient and protein component,protein powders|supplements,modern isolated,Serine is a standard protein amino acid.,Brain-health claims require source review.,needs_source
ing_threonine,Threonine,amino_acid,essential amino acid,L-threonine,mixed,nutrient and protein component,infant formula|protein powders|supplements,modern isolated,Threonine is an essential amino acid found in dietary proteins.,Needs careful nutrition wording.,needs_source
ing_tryptophan,Tryptophan,amino_acid,essential amino acid,L-tryptophan,mixed,nutrient and protein component,protein foods|supplements|fortified foods,modern isolated,Tryptophan is a precursor for serotonin and niacin pathways.,Sleep and mood claims need evidence review.,needs_source
ing_tyrosine,Tyrosine,amino_acid,conditionally essential amino acid,L-tyrosine,mixed,nutrient and protein component,protein powders|energy products|supplements,modern isolated,Tyrosine is used in some focus and energy products.,Cognitive claims need source review.,needs_source
ing_valine,Valine,amino_acid,essential branched-chain amino acid,L-valine|BCAA,mixed,nutrient and protein component,protein powders|sports drinks|bars,modern isolated,Valine is one of the three branched-chain amino acids.,BCAA claims need evidence grading.,needs_source
ing_taurine,Taurine,amino_acid_like,amino sulfonic acid,2-aminoethanesulfonic acid,mixed,functional ingredient,energy drinks|infant formula|supplements,modern isolated,Taurine is not a protein-building amino acid but appears in many energy drinks.,Stimulant-style marketing should not be confused with caffeine.,needs_source
ing_creatine,Creatine,amino_acid_related,guanidino compound,creatine monohydrate,mixed,functional ingredient,sports products|protein powders|supplements,modern isolated,Creatine is related to amino-acid metabolism and common in sports nutrition.,Performance and kidney claims need evidence-backed wording.,needs_source
ing_carnitine,Carnitine,amino_acid_related,quaternary ammonium compound,L-carnitine,mixed,functional ingredient,energy drinks|supplements|formula,modern isolated,Carnitine is often marketed for energy metabolism.,Weight-loss claims require careful review.,needs_source
