ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_red_40,Red 40,color,synthetic azo dye,Allura Red AC|E129,synthetic,red coloring,candy|drinks|snacks,modern,A common synthetic red food dye.,Jurisdiction and warning label requirements vary.,needs_source
ing_yellow_5,Yellow 5,color,synthetic azo dye,Tartrazine|E102,synthetic,yellow coloring,candy|drinks|snacks,modern,A bright yellow synthetic dye used in many processed foods.,Sensitivity claims need careful source-backed wording.,needs_source
ing_yellow_6,Yellow 6,color,synthetic azo dye,Sunset Yellow FCF|E110,synthetic,orange-yellow coloring,candy|sauces|snacks,modern,Provides orange-yellow color in processed foods.,Jurisdiction rules vary.,needs_source
ing_blue_1,Blue 1,color,synthetic dye,Brilliant Blue FCF|E133,synthetic,blue coloring,candy|drinks|frosting,modern,Used for blue and green color blends.,Needs regulatory review by market.,needs_source
ing_blue_2,Blue 2,color,synthetic dye,Indigotine|Indigo Carmine|E132,synthetic,blue coloring,candy|desserts|drinks,modern,A synthetic indigo-blue color.,Needs jurisdictional review.,needs_source
ing_green_3,Green 3,color,synthetic dye,Fast Green FCF|E143,synthetic,green coloring,candy|desserts|drinks,modern,A synthetic green dye less common than many blends.,Market availability varies.,needs_source
ing_red_3,Red 3,color,synthetic dye,Erythrosine|E127,synthetic,pink-red coloring,candy|decorations|cherries,modern,A synthetic pink-red dye historically used in candies and decorations.,Regulatory status has changed in some places; must verify before app release.,needs_source
ing_titanium_dioxide,Titanium Dioxide,color,white pigment,E171,mineral,white color and opacity,candy|icing|gum,modern,A white pigment formerly common in some foods and still present in some markets.,Regulatory status varies significantly by jurisdiction.,needs_source
ing_caramel_color,Caramel Color,color,browned sugar color,E150|caramel colouring,mixed,brown coloring,cola|sauces|baked goods,modern,Made by controlled heating of carbohydrates in different classes.,Specific class matters for risk discussion.,needs_source
ing_annatto,Annatto,color,natural color,E160b|achiote,plant,yellow-orange coloring,cheese|butter|snacks,ancient Americas,Annatto comes from seeds of the achiote tree.,Can rarely cause sensitivity reactions.,needs_source
ing_beta_carotene,Beta-Carotene,color,carotenoid,E160a|provitamin A,plant,orange coloring and nutrient activity,drinks|margarine|dairy,ancient source modern isolated,Beta-carotene gives carrots their orange color.,Supplement-dose concerns differ from food color use.,needs_source
ing_paprika_extract,Paprika Extract,color,carotenoid extract,E160c|capsanthin,plant,orange-red coloring,snacks|sauces|cheese,modern from traditional pepper use,Extracted from peppers for red-orange color.,Pepper source does not always mean spicy.,draft
ing_turmeric_color,Turmeric Color,color,curcuminoid,E100|curcumin,plant,yellow coloring,mustard|rice|drinks,ancient,Turmeric provides a strong yellow color.,Stains easily and supplement claims should be separated.,draft
ing_beet_juice_color,Beet Juice Color,color,natural pigment,beet red|betanin|E162,plant,red coloring,yogurt|drinks|desserts,modern from traditional beet use,Beet pigments can provide natural red coloring.,Heat and pH can affect color stability.,draft
ing_spirulina_extract,Spirulina Extract,color,natural blue phycocyanin,spirulina blue,plant,blue-green coloring,candy|ice cream|drinks,modern,One of the few natural blue color options.,Heat and acidity stability need review.,needs_source
ing_chlorophyll,Chlorophyll,color,green pigment,E140|chlorophyllin,plant,green coloring,confections|sauces|drinks,ancient source modern additive,Chlorophyll is the green pigment of plants.,Copper chlorophyll variants should be distinguished.,needs_source
