regulatory_id,ingredient_id,canonical_name,jurisdiction,status,allowed_use_notes,requires_warning,review_status,citation_id,notes
reg_0001,ing_aspartame,Aspartame,US,authorized_sweetener,FDA says aspartame is approved for use in food as a sweetener and requires a phenylalanine statement for people with PKU,yes,reviewed,cite_0017,Use exact regulation for formulation-specific details
reg_0002,ing_aspartame,Aspartame,Canada,needs_specific_additive_check,Canadian sweetener permission requires row-level verification before public verified display,yes,needs_source,cite_0006,Verify Health Canada wording and permitted foods
reg_0003,ing_sucralose,Sucralose,US,authorized_sweetener,FDA says sucralose is approved for use in food as a sweetener,no,reviewed,cite_0017,Use exact regulation for formulation-specific details
reg_0004,ing_sucralose,Sucralose,Canada,needs_specific_additive_check,Canadian sweetener permission requires row-level verification before public verified display,no,needs_source,cite_0006,Verify permitted foods and limits
reg_0005,ing_acesulfame_potassium,Acesulfame Potassium,US,authorized_sweetener,FDA says acesulfame potassium is approved for use in food as a sweetener,no,reviewed,cite_0017,Ingredient list may show acesulfame K acesulfame potassium or Ace-K
reg_0006,ing_stevia,Steviol Glycosides,US,gras_notice_sweetener,FDA says it has not questioned GRAS conclusions for high-purity steviol glycosides under intended conditions of use,no,reviewed,cite_0017,Whole stevia leaf and crude stevia extracts differ from high-purity steviol glycosides
reg_0007,ing_monk_fruit,Monk Fruit Extract,US,gras_notice_sweetener,FDA says it has not questioned GRAS conclusions for Siraitia grosvenorii fruit extract under intended conditions of use,no,reviewed,cite_0017,Use exact GRAS notice details for specific products
reg_0008,ing_red_40,Red 40,US,listed_color_additive_for_human_food,FDA summary lists FD&C Red No. 40 in color additives approved for use in human food; conditions of use remain in the CFR,no,reviewed,cite_0016,Use exact CFR section for formulation-specific restrictions
reg_0009,ing_yellow_5,Yellow 5,US,specific_labeling_required,FDA states products containing FD&C Yellow No. 5 must identify it on labels,yes,reviewed,cite_0012,FDA food allergies page specifically names FD&C Yellow No. 5 labeling
reg_0010,ing_yellow_6,Yellow 6,US,listed_color_additive_for_human_food,FDA summary lists FD&C Yellow No. 6 in color additives approved for use in human food; conditions of use remain in the CFR,no,reviewed,cite_0016,Use exact CFR section for formulation-specific restrictions
