rule_id,jurisdiction,scope,trigger,rule_summary,citation_id,review_status,app_action
labelrule_0001,US,major_allergens,ingredient source is milk eggs fish crustacean shellfish tree nuts peanuts wheat soybeans or sesame,FDA lists nine major food allergens: milk eggs fish Crustacean shellfish tree nuts peanuts wheat soybeans and sesame,cite_0010,reviewed,Show US major allergen alert
labelrule_0002,US,sesame,ingredient source is sesame,Sesame became the ninth major food allergen in the US effective January 1 2023,cite_0011,reviewed,Show US sesame major allergen alert
labelrule_0003,US,tree_nuts,ingredient source is a tree nut,FDA requires the type of tree nut to be declared on food labels,cite_0010,reviewed,Show specific tree nut name when available
labelrule_0004,US,fish,ingredient source is fish,FDA requires the species of fish to be declared on food labels,cite_0010,reviewed,Show specific fish species when available
labelrule_0005,US,crustacean_shellfish,ingredient source is crustacean shellfish,FDA requires the species of Crustacean shellfish to be declared on food labels,cite_0010,reviewed,Show specific crustacean shellfish species when available
labelrule_0006,US,contains_statement,major allergen present,FDA allows major allergen source declaration either in parentheses after ingredient name or in a Contains statement,cite_0010,reviewed,Parse both parenthetical and Contains statements
labelrule_0007,US,advisory_statement,may contain or produced in facility statement,FDA says advisory statements such as may contain are not required by law and should not substitute for good manufacturing practices,cite_0010,reviewed,Display as precautionary not confirmed ingredient
labelrule_0008,US,yellow_5,FD&C Yellow No. 5 present,FDA requires all products containing FD&C Yellow No. 5 to identify it on labels,cite_0012,reviewed,Show Yellow 5 specific labeling note
labelrule_0009,US,sulfites,total sulfites at or above 10 ppm,FDA says sulfiting agents must be declared when present in food at 10 ppm or more total sulfites,cite_0013,reviewed,Show sulfite declaration threshold note
labelrule_0010,Canada,priority_allergens,ingredient source is listed Canadian priority allergen,Health Canada identifies priority allergens including eggs milk mustard peanuts crustaceans and molluscs fish sesame soy sulphites tree nuts wheat and triticale,cite_0014,reviewed,Show Canadian priority allergen alert
labelrule_0011,Canada,label_common_names,priority allergen gluten source or sulphite in pre-packaged food,Health Canada says Canadian labelling regulations require common names for priority allergens gluten sources and sulphite in pre-packaged foods,cite_0014,reviewed,Prefer common allergen names in display
labelrule_0012,Canada,sulphites,ingredient or additive is sulphite related,Health Canada lists sulphites among key priority substances associated with food allergies and allergic-type reactions,cite_0014,reviewed,Show Canadian sulphite alert
labelrule_0013,OpenFoodFacts,api_user_agent,app calls Open Food Facts API,Open Food Facts asks API users to send a custom User-Agent identifying the app and contact email,cite_0015,reviewed,Configure app User-Agent before API use
labelrule_0014,OpenFoodFacts,api_read_rate_limit,app performs product reads,Open Food Facts documents a read product limit of 15 requests per minute per IP address,cite_0015,reviewed,Cache product reads and avoid repeated calls
labelrule_0015,OpenFoodFacts,api_search_rate_limit,app performs search queries,Open Food Facts documents a search limit of 10 requests per minute per IP address and warns against search-as-you-type,cite_0015,reviewed,Debounce search and avoid search-as-you-type
labelrule_0016,OpenFoodFacts,bulk_fetch,app needs hundreds of products,Open Food Facts asks apps that need more than a few hundred products to download CSV or JSONL data instead of using the live API,cite_0015,reviewed,Use local database for bulk product coverage
