citation_id,source_id,title,url,applies_to,claim_scope,review_status,notes
cite_0001,src_0001,Open Food Facts data exports,https://world.openfoodfacts.org/data,ingredients|products|barcodes|allergens|additives,Dataset source for product ingredient mining,needs_source,Known official page; verify current export details manually before production release
cite_0002,src_0002,Open Food Facts API documentation,https://openfoodfacts.github.io/openfoodfacts-server/api/,barcode_lookup|product_lookup,Runtime API fallback documentation,reviewed,Official docs state API supports ingredients and nutritional values and list rate limits/user-agent requirements
cite_0003,src_0003,USDA FoodData Central,https://fdc.nal.usda.gov/,nutrition_reference,Nutrition and food composition reference,needs_source,Use for nutrient facts not product labels
cite_0004,src_0004,FDA Food Additive Status List,https://www.fda.gov/food/food-additives-petitions/food-additive-status-list,regulatory_status_us,US food additive status,reviewed,Official FDA page; row-level additive permissions still need individual checking
cite_0005,src_0005,FDA Color Additives,https://www.fda.gov/industry/color-additives,color_additives_us,US color additive rules and certification context,reviewed,Official FDA industry page for color additives
cite_0006,src_0006,Health Canada Food Additives,https://www.canada.ca/en/health-canada/services/food-nutrition/food-safety/food-additives.html,regulatory_status_ca,Canadian food additive rules,needs_source,Attach to Canada additive rows after checking specific lists
cite_0007,src_0007,CFIA Food allergens gluten and added sulphites,https://inspection.canada.ca/en/food-labels/labelling/consumers/food-allergens-gluten-added-sulphites,allergens_ca,Canadian allergen and sulphite labelling,needs_source,Use if CFIA page is manually verified
cite_0008,src_0008,EFSA Food additives topic page,https://www.efsa.europa.eu/en/topics/topic/food-additives,regulatory_status_eu,EU additive risk assessment context,needs_source,Use as starting source not row-level legal database
cite_0009,src_0010,PubChem PUG REST documentation,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,compound_identifiers,Compound metadata and synonyms,needs_source,Use for compound enrichment only after manual browser check
cite_0010,src_0004,FDA Food Allergies - Major Food Allergens,https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/food-allergies,allergens_us,US major allergen list and labeling rules,reviewed,FDA page content current as of 2026-03-11 lists nine major allergens and label requirements
cite_0011,src_0004,FDA Food Allergies - FASTER Act Sesame,https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/food-allergies,sesame_us,Sesame became the ninth US major food allergen effective 2023-01-01,reviewed,FDA page states FASTER Act signed 2021-04-23 and sesame requirements effective 2023-01-01
cite_0012,src_0004,FDA Food Allergies - Yellow 5 Labeling,https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/food-allergies,yellow_5_us,FD&C Yellow No. 5 must be identified on labels,reviewed,FDA page states products containing FD&C Yellow No. 5 must identify it on labels
cite_0013,src_0004,FDA Food Allergies - Sulfite Labeling,https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/food-allergies,sulfites_us,Sulfiting agents must be declared at 10 ppm or more total sulfites,reviewed,FDA page states declaration threshold is at least 10 ppm total sulfites
cite_0014,src_0006,Health Canada Common Food Allergens,https://www.canada.ca/en/health-canada/services/food-nutrition/food-safety/food-allergies-intolerances/food-allergies.html,allergens_ca,Canadian priority allergens and allergen labelling,reviewed,Canada.ca page lists priority allergens and labelling requirements for pre-packaged foods
cite_0015,src_0002,Open Food Facts API Rate Limits,https://openfoodfacts.github.io/openfoodfacts-server/api/,open_food_facts_api,OFF API read/search rate limits local database recommendation and user-agent guidance,reviewed,Official docs list 15 product reads per minute per IP and 10 search requests per minute per IP
cite_0016,src_0005,FDA Summary of Color Additives for Foods,https://www.fda.gov/industry/color-additives/summary-color-additives-use-united-states-foods-drugs-cosmetics-and-medical-devices,color_additives_food_us,US color additives approved for use in human food,reviewed,FDA table lists certified straight colors for human food including Blue 1 Blue 2 Green 3 Red 3 Red 40 Yellow 5 and Yellow 6
