ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_sucrose,Sucrose,sweetener,nutritive sugar,table sugar|cane sugar|beet sugar,plant,sweetness,desserts|drinks|sauces,ancient,Sucrose is the standard table sugar molecule.,Added sugar intake should be shown separately from natural occurrence.,draft
ing_glucose,Glucose,sweetener,nutritive sugar,dextrose when crystalline|grape sugar,mixed,sweetness and fermentation substrate,candy|sports drinks|baking,ancient source modern refined,Glucose is a basic sugar used by living cells.,Can raise blood glucose quickly.,draft
ing_dextrose,Dextrose,sweetener,nutritive sugar,glucose|corn sugar,plant,sweetness and browning,baked goods|snacks|candy,modern,Dextrose is typically glucose produced from starch.,Often corn-derived in North America.,draft
ing_fructose,Fructose,sweetener,nutritive sugar,fruit sugar,plant,sweetness,drinks|fruit products|sweeteners,ancient source modern refined,Fructose tastes sweeter than sucrose in many uses.,High intake context differs from whole fruit.,draft
ing_corn_syrup,Corn Syrup,sweetener,glucose syrup,glucose syrup|maize syrup,plant,sweetness body and anti-crystallization,candy|sauces|desserts,modern,Corn syrup helps candies stay smooth by limiting sugar crystallization.,Different from high-fructose corn syrup.,draft
ing_high_fructose_corn_syrup,High Fructose Corn Syrup,sweetener,nutritive syrup,HFCS|glucose-fructose syrup,plant,sweetness,soft drinks|sauces|snacks,modern,HFCS is corn syrup enzymatically adjusted to contain more fructose.,Controversial mostly because of added-sugar intake patterns.,needs_source
ing_honey,Honey,sweetener,natural sweetener,bee honey,animal,sweetness and browning,tea|baking|sauces,prehistoric,Honey contains sugars plus trace aroma compounds from flowers.,Not for infants under one year.,draft
ing_maple_syrup,Maple Syrup,sweetener,natural syrup,maple,plant,sweetness and flavor,pancakes|glazes|desserts,indigenous North America,Maple syrup is concentrated sap from maple trees.,Still mostly sugar despite natural origin.,draft
ing_molasses,Molasses,sweetener,refining syrup,blackstrap molasses|cane molasses,plant,sweetness color and minerals,baking|barbecue sauce|rum,modern, Molasses is a byproduct of sugar refining with dark flavor.,Strong flavor and high sugar content.,draft
ing_agave_syrup,Agave Syrup,sweetener,natural syrup,agave nectar,plant,sweetness,drinks|desserts|bars,modern,Agave syrup is usually high in fructose relative to table sugar.,Natural branding should not imply unlimited use.,needs_source
ing_stevia,Stevia,sweetener,high-intensity sweetener,steviol glycosides|E960,plant,sweetness without sugar,drinks|yogurt|tabletop sweeteners,modern,Stevia sweetness comes from steviol glycosides in stevia leaves.,Use approved extract status rather than whole-leaf assumptions.,needs_source
ing_monk_fruit,Monk Fruit Extract,sweetener,high-intensity sweetener,luo han guo|mogrosides,plant,sweetness without sugar,drinks|desserts|tabletop sweeteners,modern,Monk fruit sweetness comes from mogrosides.,Often blended with erythritol or other carriers.,needs_source
ing_aspartame,Aspartame,sweetener,high-intensity sweetener,E951,synthetic,sweetness without sugar,diet soda|gum|desserts,modern,Aspartame is made from amino-acid related components.,Requires phenylalanine warning for PKU contexts.,needs_source
ing_sucralose,Sucralose,sweetener,high-intensity sweetener,E955,synthetic,sweetness without sugar,drinks|baking blends|sauces,modern,Sucralose is much sweeter than sugar and often used in tiny amounts.,Needs temperature and evidence wording reviewed.,needs_source
ing_saccharin,Saccharin,sweetener,high-intensity sweetener,E954,synthetic,sweetness without sugar,diet drinks|tabletop sweeteners,modern,Saccharin is one of the oldest artificial sweeteners.,Historical controversy needs careful updated context.,needs_source
ing_acesulfame_potassium,Acesulfame Potassium,sweetener,high-intensity sweetener,acesulfame K|Ace-K|E950,synthetic,sweetness without sugar,drinks|gum|protein products,modern,Often combined with other sweeteners to balance flavor.,Needs source-backed safety context.,needs_source
ing_neotame,Neotame,sweetener,high-intensity sweetener,E961,synthetic,sweetness without sugar,specialty foods|drinks,modern,Neotame is chemically related to aspartame but used at very low levels.,Needs review for market availability.,needs_source
ing_advantame,Advantame,sweetener,high-intensity sweetener,E969,synthetic,sweetness without sugar,specialty foods,modern,Advantame is an extremely high-potency sweetener.,Needs jurisdictional review.,needs_source
ing_erythritol,Erythritol,sweetener,sugar alcohol,polyol erythritol,mixed,sweetness and bulk,keto foods|gum|tabletop sweeteners,modern,Erythritol provides bulk with fewer calories than sugar.,Recent research claims need careful non-alarmist handling.,needs_source
ing_xylitol,Xylitol,sweetener,sugar alcohol,wood sugar|birch sugar,mixed,sweetness and dental-friendly gum,gum|mints|low-sugar candy,modern,Xylitol is common in sugar-free gum.,Extremely dangerous to dogs; app can flag pet-safety warning.,needs_source
ing_sorbitol,Sorbitol,sweetener,sugar alcohol,E420,mixed,sweetness moisture and bulk,gum|candy|baked goods,modern,Sorbitol can help foods retain moisture.,Large amounts may cause laxative effects.,needs_source
ing_mannitol,Mannitol,sweetener,sugar alcohol,E421,mixed,sweetness and anti-caking,candy|gum|pharma coatings,modern,Mannitol is a polyol used for mild sweetness and texture.,Large amounts may affect digestion.,needs_source
ing_maltitol,Maltitol,sweetener,sugar alcohol,E965,mixed,sweetness and bulk,sugar-free chocolate|candy|bars,modern,Maltitol behaves more like sugar in texture than many polyols.,Can cause digestive discomfort in larger amounts.,needs_source
ing_allulose,Allulose,sweetener,rare sugar,D-psicose,plant,sweetness with low calories,baking blends|bars|drinks,modern,Allulose is a rare sugar used in newer low-sugar products.,Regulatory status varies by jurisdiction.,needs_source
ing_isomalt,Isomalt,sweetener,sugar alcohol,E953,mixed,sweetness and candy structure,sugar-free candy|decorations,modern,Isomalt is useful for hard candies and decorative sugar work.,Can have laxative effects in high amounts.,needs_source
