group_id,group_name,primary_use,ingredient_ids,display_note,caution_note,review_status
sub_sweetener_nutritive,Nutritive sweeteners,sweetness and bulk,ing_sucrose|ing_glucose|ing_dextrose|ing_fructose|ing_honey|ing_maple_syrup|ing_molasses,These sweeteners provide sweetness plus calories and bulk.,They are not interchangeable one-for-one in every recipe.,reviewed
sub_high_intensity_sweetener,High-intensity sweeteners,sweetness with little bulk,ing_stevia|ing_monk_fruit|ing_aspartame|ing_sucralose|ing_saccharin|ing_acesulfame_potassium,These are much sweeter than sugar and are usually used in tiny amounts.,They often need bulking agents when replacing sugar in foods.,reviewed
sub_sugar_alcohol,Sugar alcohols,sweetness and bulk,ing_erythritol|ing_xylitol|ing_sorbitol|ing_mannitol|ing_maltitol|ing_isomalt,These polyols add sweetness and bulk with different digestion and texture properties.,Large amounts can affect digestion for some people; xylitol is dangerous to dogs.,reviewed
sub_acidulants,Food acidulants,tartness and acidity balance,ing_citric_acid|ing_malic_acid|ing_tartaric_acid|ing_fumaric_acid|ing_lactic_acid|ing_acetic_acid,Different acids create different styles of sourness and acidity balance.,They are not identical in flavor strength or food behavior.,reviewed
sub_leaveners,Baking leavening agents,baking rise,ing_sodium_bicarbonate|ing_monocalcium_phosphate|ing_sodium_acid_pyrophosphate|ing_cream_of_tartar|ing_sodium_aluminum_phosphate,Leavening systems create rise in baked goods.,Substitution changes rise timing flavor and sodium or phosphate content.,reviewed
sub_emulsifiers,Emulsifiers,oil-water mixing and texture,ing_soy_lecithin|ing_sunflower_lecithin|ing_mono_diglycerides|ing_polysorbate_80|ing_datem|ing_ssl,Emulsifiers help fats water and air stay distributed in foods.,Source and allergen status can vary.,reviewed
sub_thickeners_gums,Gums and thickeners,viscosity and stability,ing_xanthan_gum|ing_guar_gum|ing_carrageenan|ing_agar|ing_pectin|ing_gum_arabic|ing_cellulose_gum,These ingredients control thickness suspension and gel texture.,Texture effects differ dramatically by amount and food type.,reviewed
sub_plant_proteins,Plant protein ingredients,protein enrichment and structure,ing_soy_protein_isolate|ing_soy_protein_concentrate|ing_pea_protein_isolate|ing_rice_protein|ing_wheat_gluten|ing_fava_bean_protein|ing_chickpea_protein,Plant proteins differ in texture flavor allergen profile and amino-acid balance.,Soy wheat and legume sensitivities should be surfaced clearly.,reviewed
sub_dairy_proteins,Dairy protein ingredients,protein enrichment and creamy texture,ing_whey_protein_concentrate|ing_whey_protein_isolate|ing_milk_protein_concentrate|ing_casein,Dairy proteins add nutrition texture and body.,Contains milk allergen.,reviewed
sub_gluten_free_flours,Gluten-free flour base options,bulk and baked structure,ing_rice_flour|ing_sorghum_flour|ing_millet_flour|ing_buckwheat_flour|ing_quinoa_flour|ing_cassava_flour,Gluten-free flours usually need blends to mimic wheat flour structure.,Cross-contact status still matters.,reviewed
sub_starches,Starches,thickening and texture,ing_corn_starch|ing_tapioca_flour|ing_potato_starch|ing_arrowroot_starch|ing_modified_food_starch,Starches thicken sauces and improve texture in baked foods.,Different starches thicken at different rates and textures.,reviewed
sub_oils_neutral,Neutral cooking oils,fat and frying,ing_canola_oil|ing_soybean_oil|ing_corn_oil|ing_sunflower_oil|ing_safflower_oil|ing_grapeseed_oil,Neutral oils provide fat with mild flavor.,Smoke point and fatty acid profile vary by refinement and type.,reviewed
sub_firm_fats,Firm fats,solid fat texture,ing_palm_oil|ing_palm_kernel_oil|ing_coconut_oil|ing_lard|ing_tallow|ing_ghee,Firm fats affect spreadability flakiness and melting behavior.,Dietary religious allergen and saturated fat considerations vary.,reviewed
sub_natural_colors,Natural color sources,color,ing_annatto|ing_beta_carotene|ing_paprika_extract|ing_turmeric_color|ing_beet_juice_color|ing_spirulina_extract|ing_chlorophyll,Natural color sources differ in heat light and acidity stability.,Natural does not automatically mean more stable or safer.,reviewed
sub_synthetic_colors,Synthetic colors,color,ing_red_40|ing_yellow_5|ing_yellow_6|ing_blue_1|ing_blue_2|ing_green_3|ing_red_3,Synthetic colors provide strong predictable color at low use levels.,Rules and warning labels vary by jurisdiction.,reviewed
