ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_tomato,Tomato,whole_food,fruit vegetable,tomato puree|tomato solids|tomato concentrate,plant,flavor acidity color and body,sauces|soups|pizza|snacks,ancient Americas,Tomato adds acidity umami sweetness and red color to many foods.,Acidic profile can matter for sensitive users.,reviewed
ing_carrot,Carrot,whole_food,root vegetable,carrot powder|carrot puree,plant,sweetness color and vegetable content,soups|sauces|baby food|snacks,ancient,Carrot ingredients add natural sweetness orange color and vegetable solids.,Vitamin claims depend on amount and processing.,reviewed
ing_spinach,Spinach,whole_food,leafy green,spinach powder|spinach puree,plant,color vegetable content and flavor,pasta|wraps|smoothies|sauces,ancient,Spinach adds green color and leafy flavor to prepared foods.,Oxalate or nutrient claims need context and amount.,reviewed
ing_beet,Beet,whole_food,root vegetable,beet juice|beet powder|beetroot,plant,color sweetness and vegetable content,drinks|snacks|desserts,ancient,Beet ingredients can provide deep red color and earthy sweetness.,Color may also appear as beet juice color.,reviewed
ing_pumpkin,Pumpkin,whole_food,squash,pumpkin puree|pumpkin powder,plant,body sweetness and color,baked goods|soups|seasonal foods,ancient Americas,Pumpkin adds moisture body orange color and mild sweetness.,Often paired with spice blends that drive most of the flavor.,reviewed
ing_sweet_potato,Sweet Potato,whole_food,root vegetable,sweet potato puree|sweet potato powder,plant,sweetness color and starch,baby food|chips|baked goods,ancient Americas,Sweet potato adds natural sweetness starch and orange color.,Not the same botanical plant as ordinary potato.,reviewed
ing_potato,Potato,whole_food,tuber,potato flakes|dehydrated potato|potato granules,plant,starch body and texture,chips|soups|instant potatoes|snacks,ancient Americas,Potato ingredients add starch body and familiar savory flavor.,Green potato safety context is about raw whole potatoes not normal labeled potato ingredients.,reviewed
ing_onion,Onion,whole_food,allium,onion powder|dehydrated onion|onion flakes,plant,savory aroma and sweetness,soups|seasonings|sauces|snacks,ancient,Onion is a core savory flavor base in many packaged foods.,High-FODMAP users may want an allium flag.,reviewed
ing_garlic,Garlic,whole_food,allium,garlic powder|dehydrated garlic|garlic flakes,plant,savory aroma,seasonings|sauces|snacks|meats,ancient,Garlic adds strong savory aroma through sulfur-containing flavor compounds.,High-FODMAP users may want an allium flag.,reviewed
ing_celery,Celery,whole_food,vegetable,celery seed|celery salt|celery powder,plant,savory vegetable flavor,soups|broths|seasonings|meats,ancient,Celery can appear as vegetable powder seed spice or salt blend.,Celery is a priority allergen in some jurisdictions.,reviewed
ing_bell_pepper,Bell Pepper,whole_food,pepper,paprika pepper|sweet pepper|red pepper,plant,color sweetness and pepper flavor,sauces|frozen meals|snacks,ancient Americas,Bell peppers add sweet pepper flavor and color without much heat.,Pepper type matters for spice level.,reviewed
ing_chili_pepper,Chili Pepper,whole_food,hot pepper,chile|capsicum|red pepper,plant,heat color and flavor,hot sauce|snacks|seasonings,ancient Americas,Chili pepper heat comes from capsaicinoids and varies widely by variety.,Heat tolerance is personal and amount-dependent.,reviewed
ing_mushroom,Mushroom,whole_food,fungus,mushroom powder|shiitake powder|mushroom extract,fungal,umami flavor and texture,soups|sauces|plant meats|seasonings,ancient,Mushrooms add umami depth and earthy flavor.,Species-specific allergies or sensitivities should be handled separately.,reviewed
ing_apple,Apple,whole_food,fruit,apple puree|apple powder|apple juice concentrate,plant,sweetness acidity and fruit solids,bars|sauces|cereal|baby food,ancient,Apple ingredients often add sweetness acidity moisture or fruit identity.,Juice concentrate can function as an added sweetener.,reviewed
ing_banana,Banana,whole_food,fruit,banana puree|banana powder|dried banana,plant,sweetness flavor and body,bars|smoothies|baby food|cereal,ancient,Banana adds sweetness aroma and creamy body to foods.,Ripe banana flavor differs from green banana starch ingredients.,reviewed
ing_strawberry,Strawberry,whole_food,fruit,strawberry puree|strawberry powder|strawberry pieces,plant,fruit flavor color and identity,yogurt|cereal|desserts|bars,modern from wild fruit use,Strawberry ingredients add fruit identity and red color but often need flavor support.,Color can fade depending on processing and storage.,reviewed
ing_blueberry,Blueberry,whole_food,fruit,blueberry puree|blueberry powder|blueberry pieces,plant,fruit flavor color and identity,muffins|cereal|yogurt|bars,modern from wild fruit use,Blueberry ingredients add purple-blue color fruit flavor and visual pieces.,Tiny amounts may be more about appearance than nutrition.,reviewed
ing_lemon,Lemon,whole_food,citrus,lemon juice|lemon peel|lemon oil,plant,acid and citrus aroma,drinks|dressings|desserts|sauces,ancient,Lemon ingredients can provide acidity peel aroma or citrus identity.,Acid and oil components behave differently in foods.,reviewed
ing_orange,Orange,whole_food,citrus,orange juice|orange peel|orange oil,plant,sweet citrus flavor and aroma,drinks|desserts|sauces|cereal,ancient,Orange ingredients can add juice sweetness peel bitterness or citrus aroma.,Juice concentrate may add sugar while peel oil mainly adds aroma.,reviewed
ing_coconut, Coconut,whole_food,fruit seed,coconut milk|coconut cream|desiccated coconut,plant,fat texture flavor and fiber,desserts|curries|bars|beverages,ancient,Coconut ingredients can provide fat creaminess fiber or tropical flavor.,Coconut allergen classification varies by region.,reviewed
