ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_citric_acid,Citric Acid,acidulant,organic acid,E330|lemon acid,mixed,tart flavor and pH balance,soft drinks|candy|canned fruit,ancient source modern fermentation,Citric acid gives a clean sour taste and helps keep foods in the intended acidity range.,Usually used for taste and acidity balance rather than as a vitamin source.,reviewed
ing_malic_acid,Malic Acid,acidulant,organic acid,E296|apple acid,mixed,sharp sour flavor,candy|drinks|fruit flavors,ancient source modern isolated,Malic acid is strongly associated with the tart flavor of apples and sour candies.,Can taste sharper and longer-lasting than citric acid.,reviewed
ing_tartaric_acid,Tartaric Acid,acidulant,organic acid,E334,plant,sour flavor and acidity balance,baking powder|grape products|candy,ancient,Tartaric acid occurs in grapes and is also used in some baking systems and sour foods.,Usually low concern at normal food-use levels.,reviewed
ing_fumaric_acid,Fumaric Acid,acidulant,organic acid,E297,mixed,persistent sour flavor,powdered drinks|candy|baked goods,modern isolated,Fumaric acid provides a strong sour taste and is common in dry sour flavor systems.,May taste more persistent than citric acid in candies.,reviewed
ing_lactic_acid,Lactic Acid,acidulant,organic acid,E270,microbial,fermented tang and acidity balance,pickles|sourdough|dairy|meat,ancient fermentation,Lactic acid is produced in many fermented foods and can also be added for tangy acidity.,Despite the name it is not necessarily dairy-derived.,reviewed
ing_acetic_acid,Acetic Acid,acidulant,organic acid,E260|vinegar acid,microbial,vinegar-style acidity,pickles|sauces|dressings,ancient,Acetic acid is the main acid associated with vinegar flavor.,Food labels may list vinegar or acetic acid depending on the product.,reviewed
ing_phosphoric_acid,Phosphoric Acid,acidulant,mineral acid,E338,mineral,sharp beverage acidity,cola|processed cheese|beverages,modern,Phosphoric acid gives cola-style drinks a distinctive sharp acidity.,Phosphate intake context should be handled separately from taste function.,reviewed
ing_sodium_citrate,Sodium Citrate,acidity_regulator,citrate salt,E331,mineral,acidity buffer and emulsifying salt,processed cheese|drinks|gel desserts,modern,Sodium citrate buffers acidity and helps processed cheese melt smoothly.,Adds sodium and should be counted in sodium-aware views.,reviewed
ing_potassium_citrate,Potassium Citrate,acidity_regulator,citrate salt,E332,mineral,acidity buffer and mineral salt,drinks|low-sodium foods|sports products,modern,Potassium citrate buffers acidity and can contribute potassium.,People tracking potassium should notice added potassium salts.,reviewed
ing_calcium_citrate,Calcium Citrate,acidity_regulator,citrate salt,E333,mineral,calcium source and acidity balance,drinks|supplements|fortified foods,modern,Calcium citrate can be used as a calcium source and acidity regulator.,Mineral amount matters more than the ingredient name alone.,reviewed
ing_sodium_bicarbonate,Sodium Bicarbonate,leavening_agent,carbonate,E500|baking soda,mineral,baking rise,baking|cookies|quick breads,modern,Baking soda is a classic leavening ingredient for quick breads cookies and cakes.,Adds sodium and can taste soapy if a recipe is not balanced.,reviewed
ing_monocalcium_phosphate,Monocalcium Phosphate,leavening_agent,phosphate,E341,baking powder acid,baking powder component,pancakes|cakes|baking powder,modern,Monocalcium phosphate is a common acidic component in baking powders.,It helps baking powder provide reliable rise.,reviewed
ing_sodium_acid_pyrophosphate,Sodium Acid Pyrophosphate,leavening_agent,phosphate,SAPP|E450,synthetic,baking powder component,biscuits|cakes|baking powder,modern,SAPP is used in baking powders and prepared baked goods for controlled rise.,Also contributes sodium and phosphate.,reviewed
ing_cream_of_tartar,Cream of Tartar,leavening_agent,tartrate,potassium bitartrate,plant,baking acid and foam support,meringue|snickerdoodles|baking powder,ancient wine byproduct,Cream of tartar is potassium bitartrate from wine production and is common in baking.,Adds tartness and potassium.,reviewed
ing_sodium_aluminum_phosphate,Sodium Aluminum Phosphate,leavening_agent,phosphate,SALP|E541,synthetic,baking powder component,muffins|cakes|baking mixes,modern,Sodium aluminum phosphate is used in some baking powders and baking mixes.,Flag as aluminum-containing for users who want to filter it.,reviewed
ing_calcium_carbonate,Calcium Carbonate,acidity_regulator,mineral carbonate,E170|limestone|mineral calcium,mineral,calcium source and acidity balance,fortified foods|plant milks|powders,ancient source modern refined,Calcium carbonate can provide calcium and act as a mineral ingredient in foods.,Can feel chalky in some products if not formulated well.,reviewed
ing_potassium_carbonate,Potassium Carbonate,acidity_regulator,carbonate,E501|mineral alkali,mineral,alkalinity and texture,noodles|cocoa products|baked goods,ancient source modern refined,Potassium carbonate is used in some foods where alkalinity affects texture color or flavor.,Adds potassium.,reviewed
