ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_soy_lecithin,Soy Lecithin,emulsifier,lecithin,E322|lecithin from soy,plant,emulsification,chocolate|baked goods|dressings,modern,Lecithin helps oil and water phases stay mixed.,Soy allergen context depends on refinement and labeling.,needs_source
ing_sunflower_lecithin,Sunflower Lecithin,emulsifier,lecithin,E322|lecithin from sunflower,plant,emulsification,chocolate|spreads|dressings,modern,A soy-free lecithin option used in many premium products.,Still needs source and allergen review.,needs_source
ing_mono_diglycerides,Mono- and Diglycerides,emulsifier,glyceride emulsifier,E471|mono diglycerides,mixed,emulsification and texture,bread|ice cream|margarine,modern,These fat-derived emulsifiers improve texture and shelf life.,Source may be plant or animal unless specified.,needs_source
ing_polysorbate_80,Polysorbate 80,emulsifier,polysorbate,E433,synthetic,emulsification,ice cream|sauces|pickles,modern,Helps disperse oils and flavors in water-based foods.,Consumer concerns should be evidence-graded.,needs_source
ing_polysorbate_60,Polysorbate 60,emulsifier,polysorbate,E435,synthetic,emulsification,baked goods|whipped toppings,modern,Often used in aerated or whipped processed foods.,Needs jurisdictional review.,needs_source
ing_datem,DATEM,emulsifier,dough conditioner,E472e,synthetic,dough strengthening,bread|rolls|bakery,modern,Used to improve dough handling and loaf volume.,Sounds chemical but function is mainly texture engineering.,needs_source
ing_ssl,Sodium Stearoyl Lactylate,emulsifier,dough conditioner,E481|SSL,mixed,dough conditioning and emulsification,bread|cakes|tortillas,modern,Helps strengthen dough and soften crumb.,Source and regulatory limits need review.,needs_source
ing_csl,Calcium Stearoyl Lactylate,emulsifier,dough conditioner,E482|CSL,mixed,dough conditioning,bread|bakery|desserts,modern,Related to SSL with similar bakery uses.,Needs source review.,needs_source
ing_xanthan_gum, Xanthan Gum,thickener,microbial gum,E415,microbial,thickening and suspension,dressings|gluten-free baking|sauces,modern,Xanthan gum is made by fermentation and works at low levels.,Some people report digestive sensitivity.,needs_source
ing_guar_gum,Guar Gum,thickener,seed gum,E412,plant,thickening and stabilization,ice cream|sauces|gluten-free baking,ancient source modern isolated,Guar comes from guar beans and hydrates strongly in water.,High isolated fiber amounts may affect digestion.,needs_source
ing_carrageenan,Carrageenan,stabilizer,seaweed gum,E407,plant,stabilization and gelling,plant milks|dairy|desserts,ancient seaweed use modern isolated,Carrageenan comes from red seaweed and helps stabilize creamy liquids.,Consumer controversy requires careful evidence wording.,needs_source
ing_agar,Agar,thickener,seaweed gel,E406|agar-agar,plant,gelling,desserts|jellies|microbiology media,modern from traditional seaweed use,Agar makes firm gels and is common in vegan desserts.,Usually plant-based; digestive tolerance varies.,draft
ing_pectin,Pectin,thickener,fruit fiber,E440,plant,gelling,jam|jelly|fruit snacks,modern isolated,Pectin is a fruit-derived gelling fiber.,Often paired with sugar and acid.,draft
ing_gum_arabic,Gum Arabic,stabilizer,tree gum,E414|acacia gum,plant,stabilization and encapsulation,soft drinks|candy|flavor systems,ancient,Gum arabic comes from acacia tree sap.,Supply chain varies by region.,needs_source
ing_cellulose_gum,Cellulose Gum,thickener,modified cellulose,E466|CMC|carboxymethylcellulose,plant,thickening and stabilization,ice cream|sauces|gluten-free foods,modern,Derived from cellulose and modified for water solubility.,Consumer concerns need careful context.,needs_source
ing_methylcellulose,Methylcellulose,thickener,modified cellulose,E461,plant,thermal gelation and texture,plant meats|sauces|bakery,modern,Unusual because some forms gel when heated.,Common in plant-based meat texture design.,needs_source
ing_locust_bean_gum,Locust Bean Gum,thickener,seed gum,E410|carob bean gum,plant,thickening and texture,ice cream|cream cheese|sauces,ancient source modern isolated,Comes from carob tree seeds.,Used with other gums for better texture.,needs_source
ing_konjac_gum,Konjac Gum,thickener,root fiber,E425|glucomannan,plant,thickening and gelation,noodles|jellies|diet foods,ancient Asian food use,Konjac glucomannan absorbs a lot of water.,Choking risk context applies to certain jelly formats.,needs_source
ing_modified_food_starch,Modified Food Starch,thickener,modified starch,modified starch,mixed,thickening and processing stability,soups|sauces|puddings,modern,Modified starches are adjusted to handle heat acid or freezing better.,Source crop should be captured where possible.,needs_source
ing_tapioca_starch,Tapioca Starch,thickener,root starch,cassava starch,plant,thickening and chewiness,boba|sauces|gluten-free baking,ancient source modern starch,Tapioca starch comes from cassava root.,Cassava processing removes naturally occurring cyanogenic compounds.,needs_source
ing_potato_starch,Potato Starch,thickener,tuber starch,potato flour starch,plant,thickening,baking|soups|coatings,modern,Potato starch thickens quickly and can make crisp coatings.,Different from potato flour.,draft
