ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_whey_protein_concentrate,Whey Protein Concentrate,protein,dairy protein,WPC|whey concentrate,animal,protein enrichment and texture,protein powders|bars|baked goods,modern,Whey protein concentrate is a milk-derived protein ingredient with some remaining lactose fat and minerals.,Contains milk allergen.,reviewed
ing_whey_protein_isolate,Whey Protein Isolate,protein,dairy protein,WPI|whey isolate,animal,protein enrichment,protein powders|bars|shakes,modern,Whey protein isolate is more concentrated in protein than whey concentrate.,Contains milk allergen and may still have trace lactose.,reviewed
ing_milk_protein_concentrate,Milk Protein Concentrate,protein,dairy protein,MPC,animal,protein enrichment and dairy texture,yogurt|bars|cheese products,modern,Milk protein concentrate contains casein and whey fractions from milk.,Contains milk allergen.,reviewed
ing_casein,Casein,protein,dairy protein,caseinate|sodium caseinate|calcium caseinate,animal,protein and texture,creamers|cheese products|protein foods,ancient source modern isolated,Casein is the main protein family in milk and is important for cheese texture.,Contains milk allergen even if lactose is low.,reviewed
ing_collagen_peptides,Collagen Peptides,protein,animal protein,hydrolyzed collagen|collagen hydrolysate,animal,protein enrichment and texture,protein powders|bars|drinks,modern,Collagen peptides are smaller fragments of collagen protein used in powders and drinks.,Not a complete protein source for all essential amino acids.,reviewed
ing_gelatin,Gelatin,protein,gelling protein,collagen gelatin,animal,gelling and texture,gummies|marshmallows|desserts,modern from ancient collagen use,Gelatin forms heat-reversible gels in candies and desserts.,Animal-derived and not vegetarian or vegan.,reviewed
ing_egg_albumin,Egg Albumin,protein,egg protein,egg white powder|albumen,animal,foaming binding and protein,protein powders|baked goods|meringue,ancient source modern powder,Egg albumin is egg white protein used for foaming and binding.,Contains egg allergen.,reviewed
ing_soy_protein_isolate,Soy Protein Isolate,protein,plant protein,isolated soy protein|soy isolate,plant,protein enrichment and structure,plant meats|bars|cereals,modern,Soy protein isolate is a concentrated soybean protein ingredient.,Contains soy allergen.,reviewed
ing_soy_protein_concentrate,Soy Protein Concentrate,protein,plant protein,soy concentrate,plant,protein enrichment and structure,plant meats|baked goods|bars,modern,Soy protein concentrate contains more non-protein soybean components than isolate.,Contains soy allergen.,reviewed
ing_textured_vegetable_protein,Textured Vegetable Protein,protein,textured plant protein,TVP|textured soy protein,plant,meat-like texture and protein,plant meats|soups|taco fillings,modern,TVP is a dry textured plant protein often made from soy.,Allergen source must be checked because soy is common.,reviewed
ing_pea_protein_isolate,Pea Protein Isolate,protein,plant protein,pea isolate|yellow pea protein,plant,protein enrichment,plant meats|bars|shakes,modern,Pea protein isolate is a concentrated protein from peas and is common in plant-based foods.,Legume sensitivity varies by person.,reviewed
ing_pea_protein_concentrate,Pea Protein Concentrate,protein,plant protein,pea concentrate,plant,protein enrichment,bars|plant meats|snacks,modern,Pea protein concentrate is less refined than isolate but still protein-rich.,May add earthy flavor if not masked.,reviewed
ing_rice_protein,Rice Protein,protein,plant protein,brown rice protein|rice protein concentrate,plant,protein enrichment,protein powders|bars|plant foods,modern,Rice protein is often blended with pea protein to balance texture and amino acid profile.,Can taste grainy in some products.,reviewed
ing_wheat_gluten,Wheat Gluten,protein,grain protein,vital wheat gluten|seitan,plant,elastic structure and protein,bread|seitan|plant meats,ancient source modern isolated,Wheat gluten gives dough elasticity and plant meats a chewy texture.,Contains wheat and gluten.,reviewed
ing_fava_bean_protein,Fava Bean Protein,protein,plant protein,broad bean protein,plant,protein enrichment,plant meats|bars|dairy alternatives,modern,Fava bean protein is used in newer plant-based products for protein and texture.,Favism-related medical concerns should be handled carefully if added later.,reviewed
ing_chickpea_protein,Chickpea Protein,protein,plant protein,garbanzo protein,plant,protein enrichment,plant meats|bars|snacks,modern,Chickpea protein brings legume protein into plant-based foods and snacks.,Legume allergy context should be separate from peanut allergy.,reviewed
ing_lentil_protein,Lentil Protein,protein,plant protein,lentil flour protein,plant,protein enrichment,plant meats|snacks|pasta,modern,Lentil protein and lentil flour can raise protein in pasta snacks and plant-based foods.,May add legume flavor.,reviewed
ing_potato_protein,Potato Protein,protein,tuber protein,potato protein isolate,plant,protein enrichment,plant meats|bars|specialty foods,modern,Potato protein is used in some allergen-conscious and plant-based formulations.,Can have bitter notes if not carefully processed.,reviewed
ing_hemp_protein,Hemp Protein,protein,seed protein,hemp seed protein,plant,protein and fiber enrichment,bars|smoothies|cereals,modern,Hemp protein is usually made from hemp seeds and also contributes fiber and fats.,Not the same as THC-containing cannabis extracts.,reviewed
ing_pumpkin_seed_protein,Pumpkin Seed Protein,protein,seed protein,pepita protein,plant,protein enrichment,bars|powders|snacks,modern,Pumpkin seed protein is a plant protein with a nutty flavor.,Seed allergy context may matter for some users.,reviewed
