ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_peanut,Peanut,whole_food,legume,groundnut|peanut flour|peanut pieces,plant,flavor fat protein and texture,candy|sauces|snacks|bars,ancient Americas,Peanuts are legumes but are tracked separately from other legumes because of allergen importance.,Peanut allergen flag applies.,reviewed
ing_almond,Almond,whole_food,tree nut,almond pieces|almond butter|almond paste,plant,flavor fat protein and texture,cookies|bars|cereal|desserts,ancient,Almonds add nutty flavor fat protein and crunch or paste texture.,Tree nut allergen flag applies.,reviewed
ing_cashew,Cashew,whole_food,tree nut,cashew butter|cashew pieces,plant,creaminess fat and nut flavor,plant sauces|bars|desserts|snacks,modern from traditional cashew use,Cashews are often used for creamy texture in plant-based foods.,Tree nut allergen flag applies.,reviewed
ing_walnut,Walnut,whole_food,tree nut,walnut pieces|walnut meal,plant,nut flavor fat and texture,baked goods|cereal|bars|salads,ancient,Walnuts add rich nut flavor and texture to baked goods and snacks.,Tree nut allergen flag applies.,reviewed
ing_hazelnut,Hazelnut,whole_food,tree nut,filbert|hazelnut paste|hazelnut pieces,plant,nut flavor and fat,chocolate spreads|candy|desserts,ancient,Hazelnut is common in chocolate confectionery and nut spreads.,Tree nut allergen flag applies.,reviewed
ing_pistachio,Pistachio,whole_food,tree nut,pistachio paste|pistachio pieces,plant,nut flavor color and texture,ice cream|desserts|snacks,ancient,Pistachio adds green color nut flavor and premium identity.,Tree nut allergen flag applies.,reviewed
ing_pecan,Pecan,whole_food,tree nut,pecan pieces|pecan meal,plant,nut flavor fat and texture,pies|cookies|bars|cereal,ancient North America,Pecans add buttery nut flavor and crunch.,Tree nut allergen flag applies.,reviewed
ing_macadamia,Macadamia Nut,whole_food,tree nut,macadamia pieces|macadamia oil,plant,nut flavor and fat,cookies|chocolate|snacks,modern,Macadamia nuts add rich buttery fat and premium flavor.,Tree nut allergen flag applies.,reviewed
ing_sesame_seed,Sesame Seed,whole_food,seed,sesame|benne seed|sesame meal,plant,flavor oil and texture,buns|tahini|snacks|crackers,ancient,Sesame seeds add nutty flavor and texture and can be ground into tahini.,Sesame allergen flag applies in many markets.,reviewed
ing_tahini,Tahini,seed_paste,sesame paste,sesame butter,plant,creamy sesame flavor,hummus|dressings|sauces|desserts,ancient,Tahini is ground sesame paste used for creamy texture and nutty flavor.,Sesame allergen flag applies.,reviewed
ing_sunflower_seed,Sunflower Seed,whole_food,seed,sunflower kernels|sunflower meal,plant,flavor protein fat and texture,breads|bars|snacks|butters,modern,Sunflower seeds add crunch oil and mild nutty flavor.,Seed allergy is possible but separate from tree nut allergy.,reviewed
ing_pumpkin_seed,Pumpkin Seed,whole_food,seed,pepita|pumpkin kernels,plant,flavor protein fat and texture,granola|bars|snacks|bread,ancient Americas,Pumpkin seeds add green color crunch and nutty flavor.,Seed allergy context may matter for some users.,reviewed
ing_chia_seed,Chia Seed,whole_food,seed,chia,plant,gel texture fiber and visual texture,puddings|bars|drinks|cereal,ancient Americas,Chia seeds absorb water and create gel-like texture.,Can thicken foods significantly.,reviewed
ing_flaxseed,Flaxseed,whole_food,seed,linseed|ground flax|flax meal,plant,fiber fat and binding,bread|cereal|bars|egg replacers,ancient,Ground flaxseed can add fiber and help bind water in baked goods.,Whole flax may pass through digestion more intact than ground flax.,reviewed
ing_hemp_seed,Hemp Seed,whole_food,seed,hemp hearts|hulled hemp seed,plant,protein fat and nutty flavor,bars|cereal|smoothies|snacks,modern,Hemp seeds add protein fat and nutty flavor.,Not the same as THC-containing cannabis extracts.,reviewed
ing_poppy_seed,Poppy Seed,whole_food,seed,poppy,plant,texture and nutty flavor,baked goods|dressings|bagels,ancient,Poppy seeds add tiny crunchy texture and nutty flavor.,Drug-test concerns are separate and depend on seed handling and amount.,reviewed
ing_quinoa,Quinoa,whole_food,pseudocereal,quinoa seed|quinoa flakes,plant,protein grain texture,bowls|bars|cereal|snacks,ancient Andes,Quinoa is a seed used like a grain and can add protein and texture.,Bitter notes can occur if saponins remain.,reviewed
ing_chickpea,Chickpea,whole_food,legume,garbanzo bean|chickpea flour|besan,plant,protein starch and nutty flavor,hummus|snacks|pasta|baking,ancient,Chickpeas appear as whole beans flour protein and snack ingredients.,Legume sensitivity varies by person.,reviewed
ing_lentil,Lentil,whole_food,legume,lentil flour|red lentil|green lentil,plant,protein starch and earthy flavor,soups|pasta|snacks|plant meats,ancient,Lentils add protein starch and earthy flavor to many foods.,Legume sensitivity varies by person.,reviewed
ing_black_bean,Black Bean,whole_food,legume,black bean flour|black turtle bean,plant,protein starch color and flavor,soups|chips|burgers|dips,ancient Americas,Black beans add protein fiber dark color and earthy flavor.,Legume sensitivity varies by person.,reviewed
ing_kidney_bean,Kidney Bean,whole_food,legume,red kidney bean|kidney bean flour,plant,protein starch and texture,chili|soups|prepared meals,ancient Americas,Kidney beans add hearty texture and plant protein.,Raw kidney bean safety does not apply to properly cooked food products.,reviewed
