ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_sodium_benzoate,Sodium Benzoate,preservative,benzoate,E211,synthetic,antimicrobial preservation,sodas|sauces|pickles,modern,Used mainly to inhibit microbes in acidic foods and drinks.,Needs source review for jurisdiction-specific limits.,needs_source
ing_potassium_sorbate,Potassium Sorbate,preservative,sorbate,E202,synthetic,antimicrobial preservation,cheese|wine|baked goods,modern,Common mold and yeast control preservative.,Regulatory limits vary by food type.,needs_source
ing_sorbic_acid,Sorbic Acid,preservative,sorbate,E200,synthetic,antimicrobial preservation,cheese|bakery|dried fruit,modern,Acid form of sorbate preservation chemistry.,Needs source review.,needs_source
ing_calcium_propionate,Calcium Propionate,preservative,propionate,E282,synthetic,mold inhibition,bread|tortillas|bakery,modern,Commonly used to slow mold growth in packaged breads.,Some consumers prefer propionate-free bread.,needs_source
ing_sodium_propionate,Sodium Propionate,preservative,propionate,E281,synthetic,mold inhibition,bread|cheese|bakery,modern,Related to calcium propionate and used for mold control.,Needs jurisdiction review.,needs_source
ing_propionic_acid,Propionic Acid,preservative,organic acid,E280,mixed,antimicrobial preservation,bread|cheese,modern isolated,Propionic acid and its salts are linked to mold control.,Strong odor in concentrated form; food use is regulated.,needs_source
ing_sodium_nitrite,Sodium Nitrite,preservative,nitrite,E250,synthetic,cure color and microbial control,bacon|ham|sausages,modern,Nitrite helps cured meats keep color and resist certain microbes.,Nitrosamine context requires careful evidence wording.,needs_source
ing_sodium_nitrate,Sodium Nitrate,preservative,nitrate,E251,synthetic,cure preservation,cured meats|some cheeses,modern,Nitrate can convert into nitrite in curing systems.,Use precise regulatory context.,needs_source
ing_potassium_nitrate,Potassium Nitrate,preservative,nitrate,E252,mineral,cure preservation,cured meats|cheese,ancient source modern additive,Historically known as saltpeter in preservation contexts.,Needs careful limits and safety wording.,needs_source
ing_sulfur_dioxide,Sulfur Dioxide,preservative,sulfite,E220,synthetic,antioxidant and antimicrobial preservation,wine|dried fruit|juice,ancient source modern additive,Sulfites help prevent browning and microbial spoilage.,Sulfites can trigger reactions in sensitive individuals.,needs_source
ing_sodium_metabisulfite,Sodium Metabisulfite,preservative,sulfite,E223,synthetic,antioxidant and preservative,wine|dried fruit|shrimp,modern,A sulfite preservative that can release sulfur dioxide.,Sulfite labeling rules matter.,needs_source
ing_potassium_metabisulfite,Potassium Metabisulfite,preservative,sulfite,E224,synthetic,antioxidant and preservative,wine|cider|dried fruit,modern,Common in winemaking and some preserved foods.,Sulfite-sensitive users need clear alerts.,needs_source
ing_bha,BHA,preservative,antioxidant,E320|butylated hydroxyanisole,synthetic,fat oxidation control,cereal|snacks|chewing gum,modern,Used to help fats resist rancidity.,Consumer concern level is higher; needs cited evidence.,needs_source
ing_bht,BHT,preservative,antioxidant,E321|butylated hydroxytoluene,synthetic,fat oxidation control,cereal|snacks|shortening,modern,Used as an antioxidant in fatty foods and packaging contexts.,Needs careful source-backed risk summary.,needs_source
ing_tbhq,TBHQ,preservative,antioxidant,E319|tertiary butylhydroquinone,synthetic,fat oxidation control,fried snacks|oils|crackers,modern,Used to slow oxidation in oils and fried products.,Needs cited acceptable-intake context.,needs_source
ing_edta,Calcium Disodium EDTA,preservative,chelating agent,E385|EDTA,synthetic,binds metals to slow quality loss,dressings|canned beans|sauces,modern,Chelates trace metals that can drive discoloration or rancidity.,Needs clear limits and function wording.,needs_source
ing_natamycin,Natamycin,preservative,antifungal,E235,microbial,surface mold control,cheese|sausage casing,modern,A fermentation-derived antifungal used mostly on surfaces.,Usually not a broad-spectrum preservative.,needs_source
ing_nisin,Nisin,preservative,bacteriocin,E234,microbial,antimicrobial preservation,cheese|canned foods|sauces,modern,A peptide produced by lactic-acid bacteria.,Needs source-backed scope of use.,needs_source
ing_dimethyl_dicarbonate,Dimethyl Dicarbonate,preservative,beverage preservative,E242|DMDC,synthetic,microbial control,beverages|wine|soft drinks,modern,Used in some beverages for cold sterilization-style control.,Needs careful processing explanation.,needs_source
ing_pimaricin,Pimaricin,preservative,antifungal,natamycin,microbial,antifungal preservation,cheese surfaces|meat casings,modern,Alternate name for natamycin in some contexts.,Deduplicate with natamycin during normalization.,needs_source
