ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_caffeine,Caffeine,food_compound,alkaloid,trimethylxanthine,plant,stimulant bitter compound,coffee|tea|cola|energy drinks,ancient source modern isolated,Caffeine is a naturally occurring bitter alkaloid in coffee tea cacao and other plants.,Stimulant sensitivity varies; dosage matters.,needs_source
ing_theobromine,Theobromine,food_compound,methylxanthine,cacao alkaloid,plant,bitter compound,chocolate|cocoa|cacao,ancient source modern isolated,Theobromine is one of cacao's characteristic methylxanthines.,Pet toxicity context matters but is outside normal human food use.,needs_source
ing_chlorogenic_acids,Chlorogenic Acids,food_compound,polyphenol,coffee polyphenols,plant,flavor and antioxidant compound,coffee|some fruits,ancient source modern isolated,Chlorogenic acids contribute to coffee chemistry and roasting changes.,Do not overstate antioxidant benefits without evidence.,needs_source
ing_limonene,Limonene,food_compound,terpene,d-limonene|citrus oil,plant,citrus aroma,citrus peel|flavorings|drinks,ancient source modern isolated,Limonene gives many citrus peels their bright aroma.,Concentrated essential oil exposure differs from food flavor levels.,needs_source
ing_linalool,Linalool,food_compound,terpene alcohol,floral terpene,plant,floral aroma,herbs|spices|flavorings,ancient source modern isolated,Linalool appears in many aromatic herbs and fruits.,Allergen labeling rules for fragrances differ from foods.,needs_source
ing_eugenol,Eugenol,food_compound,phenylpropene,clove oil compound,plant,warm clove aroma,cloves|spice blends|flavorings,ancient source modern isolated,Eugenol is a major aroma compound in cloves.,Essential oil effects should not be implied from normal spice use.,needs_source
ing_capsaicin,Capsaicin,food_compound,capsaicinoid,chili heat compound,plant,spicy heat,chili peppers|hot sauce|seasonings,ancient Americas,Capsaicin activates heat-sensing receptors rather than actually heating the food.,Can irritate sensitive skin or stomach in high amounts.,draft
ing_piperine,Piperine,food_compound,alkaloid,black pepper alkaloid,plant,pepper pungency,black pepper|seasonings,ancient,Piperine gives black pepper much of its pungent bite.,Supplement interaction claims need careful evidence.,needs_source
ing_curcumin,Curcumin,food_compound,curcuminoid,turmeric pigment|E100,plant,yellow pigment,turmeric|mustard|rice,ancient,Curcumin is a yellow turmeric pigment and color compound.,Supplement health claims should not be inferred from spice amounts.,needs_source
ing_allicin,Allicin,food_compound,sulfur compound,garlic sulfur compound,plant,garlic aroma,garlic|garlic powder|seasonings,ancient,Allicin forms when garlic cells are crushed and enzymes react.,Stability changes with heat and processing.,needs_source
ing_quercetin,Quercetin,food_compound,flavonoid,onion flavonoid,plant,plant polyphenol,onions|apples|tea,ancient source modern isolated,Quercetin is a flavonoid found in many plant foods.,Health claims need source-backed evidence grading.,needs_source
ing_anthocyanins,Anthocyanins,food_compound,flavonoid pigments,berry pigments|E163,plant,red purple blue pigments,berries|red cabbage|grapes,ancient,Anthocyanins are plant pigments that shift color with pH.,Benefits should be worded as food chemistry unless sourced.,needs_source
ing_lycopene,Lycopene,food_compound,carotenoid,tomato carotenoid|E160d,plant,red pigment,tomatoes|watermelon|pink grapefruit,ancient source modern isolated,Lycopene gives tomatoes and watermelon red color.,Supplement and disease claims need evidence review.,needs_source
ing_lutein,Lutein,food_compound,carotenoid,xanthophyll|E161b,plant,yellow pigment,egg yolk|greens|corn,ancient source modern isolated,Lutein is a yellow carotenoid found in greens and egg yolk.,Eye-health claims need careful source grading.,needs_source
ing_zeaxanthin,Zeaxanthin,food_compound,carotenoid,xanthophyll,plant,yellow pigment,corn|egg yolk|peppers,ancient source modern isolated,Zeaxanthin is often discussed with lutein in nutrition contexts.,Claims need source review.,needs_source
ing_beta_glucan,Beta-Glucan,food_compound,soluble fiber,oat beta-glucan|barley beta-glucan,plant,viscosity and fiber,oats|barley|fiber products,ancient source modern isolated,Beta-glucan contributes to the thick texture of oatmeal.,Health claims may be allowed only under specific criteria.,needs_source
ing_inulin,Inulin,food_compound,prebiotic fiber,chicory root fiber,plant,fiber and mild sweetness,bars|yogurt|fiber foods,ancient source modern isolated,Inulin is a soluble fiber often extracted from chicory root.,Can cause gas or bloating for some people.,needs_source
ing_pectic_substances,Pectic Substances,food_compound,soluble fiber,pectin family,plant,gelling fiber,fruit|jam|jelly,ancient source modern isolated,Pectic substances help plant cell walls and fruit gels hold structure.,Usually represented by pectin in ingredient labels.,draft
ing_omega_3_fatty_acids,Omega-3 Fatty Acids,food_compound,fatty acid family,ALA|EPA|DHA,mixed,nutritional fat,fish|flax|chia|fortified foods,ancient source modern isolated,Omega-3 is a family name covering several different fatty acids.,ALA EPA and DHA should be tracked separately when possible.,needs_source
ing_oleic_acid,Oleic Acid,food_compound,monounsaturated fatty acid,omega-9 fatty acid,plant,fatty acid,olive oil|avocado oil|high oleic oils,ancient source modern isolated,Oleic acid is the major monounsaturated fat in olive oil.,Avoid heart-health claims without sources.,needs_source
ing_lactic_acid,Lactic Acid,food_compound,organic acid,E270,microbial,acidity and fermentation flavor,yogurt|pickles|sourdough,ancient,Lactic acid is produced during many fermentations.,Commercial source may be fermentation-based and not necessarily dairy.,draft
ing_malic_acid,Malic Acid,food_compound,organic acid,E296,plant,tart acidity,apples|candy|drinks,ancient source modern isolated,Malic acid gives apples a crisp tartness and is common in sour candies.,Acidic foods may irritate sensitive mouths or stomachs.,draft
ing_tartaric_acid,Tartaric Acid,food_compound,organic acid,E334,plant,acidulant,grapes|wine|baking powder,ancient source modern isolated,Tartaric acid is strongly associated with grapes and wine crystals.,Food acid use differs from concentrated chemical handling.,draft
