ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_vitamin_a,Vitamin A,vitamin,fat-soluble vitamin,retinol|retinyl palmitate|beta-carotene,mixed,nutrient fortification,cereal|dairy|supplements,ancient source modern isolated,Vitamin A appears as preformed retinoids or provitamin carotenoids.,High supplemental retinol can be unsafe; food context needs care.,needs_source
ing_vitamin_b1,Vitamin B1,vitamin,water-soluble vitamin,thiamine|thiamin mononitrate|thiamine hydrochloride,synthetic,nutrient fortification,flour|cereal|rice,modern isolated,Thiamine is commonly added back to enriched grains.,Deficiency and supplement claims need source-backed wording.,needs_source
ing_vitamin_b2,Vitamin B2,vitamin,water-soluble vitamin,riboflavin|E101,synthetic,nutrient fortification,cereal|flour|dairy,modern isolated,Riboflavin has a bright yellow color and is also used as a color in some contexts.,High-dose claims should be separated from food fortification.,needs_source
ing_vitamin_b3,Vitamin B3,vitamin,water-soluble vitamin,niacin|nicotinic acid|niacinamide,synthetic,nutrient fortification,flour|cereal|energy drinks,modern isolated,Niacin may appear as nicotinic acid or niacinamide.,Supplement-dose flushing is not the same as normal food levels.,needs_source
ing_vitamin_b5,Vitamin B5,vitamin,water-soluble vitamin,pantothenic acid|calcium pantothenate,synthetic,nutrient fortification,cereal|drinks|supplements,modern isolated,Pantothenic acid is part of coenzyme A metabolism.,Usually listed in fortified foods and supplements.,needs_source
ing_vitamin_b6,Vitamin B6,vitamin,water-soluble vitamin,pyridoxine|pyridoxine hydrochloride,synthetic,nutrient fortification,cereal|energy drinks|supplements,modern isolated,Vitamin B6 appears in many fortified foods and drinks.,High supplemental intakes need safety review.,needs_source
ing_vitamin_b7,Vitamin B7,vitamin,water-soluble vitamin,biotin|vitamin H,synthetic,nutrient fortification,protein bars|supplements|cereal,modern isolated,Biotin is often marketed for hair and nails but app claims need evidence review.,Can interfere with some lab tests at supplement doses.,needs_source
ing_vitamin_b9,Vitamin B9,vitamin,water-soluble vitamin,folate|folic acid|L-methylfolate,mixed,nutrient fortification,flour|cereal|prenatal foods,modern isolated,Folic acid is the synthetic fortification form commonly added to grains.,Pregnancy and deficiency claims need careful sourcing.,needs_source
ing_vitamin_b12,Vitamin B12,vitamin,water-soluble vitamin,cobalamin|cyanocobalamin|methylcobalamin,microbial,nutrient fortification,plant milks|cereal|meat alternatives,modern isolated,B12 is commonly added to vegan and vegetarian foods because reliable natural sources are animal-derived or microbial.,Deficiency claims need source-backed context.,needs_source
ing_vitamin_c,Vitamin C,vitamin,water-soluble vitamin,ascorbic acid|E300,synthetic,nutrient fortification and antioxidant,juice|cereal|cured meats,ancient source modern isolated,Vitamin C can act as both a nutrient and antioxidant additive.,Large supplement doses differ from normal food additive use.,needs_source
ing_vitamin_d2,Vitamin D2,vitamin,fat-soluble vitamin,ergocalciferol,plant,nutrient fortification,plant milks|cereal|margarine,modern isolated,Vitamin D2 is commonly produced from fungal or plant sterol sources.,Vitamin D claims and safe upper limits need sourcing.,needs_source
ing_vitamin_d3,Vitamin D3,vitamin,fat-soluble vitamin,cholecalciferol,animal,nutrient fortification,milk|cereal|margarine,modern isolated,Vitamin D3 is widely used in fortified dairy and supplements.,Can be animal-derived unless specified vegan lichen source.,needs_source
ing_vitamin_e,Vitamin E,vitamin,fat-soluble vitamin,tocopherol|mixed tocopherols|alpha-tocopherol,mixed,nutrient fortification and antioxidant,oils|cereal|snacks,modern isolated,Tocopherols can protect fats from oxidation and also count as vitamin E forms.,Supplement-dose claims need source review.,needs_source
ing_vitamin_k1,Vitamin K1,vitamin,fat-soluble vitamin,phylloquinone,plant,nutrient fortification,greens|oils|supplements,modern isolated,Vitamin K1 is associated with green plant foods.,Warfarin interaction context should be handled carefully.,needs_source
ing_vitamin_k2,Vitamin K2,vitamin,fat-soluble vitamin,menaquinone|MK-7|MK-4,microbial,nutrient fortification,fermented foods|supplements,modern isolated,Vitamin K2 includes several menaquinone forms.,Health claims require evidence grading.,needs_source
ing_choline,Choline,vitamin_like_nutrient,essential nutrient,phosphatidylcholine|choline bitartrate,mixed,nutrient enrichment,eggs|infant formula|supplements,modern isolated,Choline is often grouped near B vitamins in nutrition labeling discussions.,Population guidance and claims need source review.,needs_source
ing_inositol,Inositol,vitamin_like_nutrient,cyclitol,myo-inositol,mixed,nutrient and functional ingredient,energy drinks|supplements|infant formula,modern isolated,Inositol is sometimes marketed as a B-vitamin-like compound.,App should avoid unverified wellness claims.,needs_source
ing_beta_carotene_provitamin_a,Beta-Carotene,vitamin,provitamin A,E160a|provitamin A carotenoid,plant,color and vitamin A precursor,margarine|drinks|cereal,ancient source modern isolated,Beta-carotene can function as a color and provitamin A source.,Supplement-dose safety differs from food color use.,needs_source
