ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_water,Water,core,base ingredient,aqua,mineral,solvent and hydration base,soups|drinks|sauces,prehistoric,The simplest ingredient is also the main medium for most cooking.,Safety depends on source quality.,draft
ing_salt,Salt,core,mineral seasoning,sodium chloride|mined salt|sea salt,mineral,flavor and preservation,bread|snacks|pickles,ancient,One of the oldest food preservatives and seasonings.,High sodium intake may matter for some diets.,draft
ing_sugar,Sugar,core,sweetener,sucrose|cane sugar|beet sugar,plant,sweetness and texture,desserts|drinks|sauces,ancient,Table sugar is sucrose from cane or beets.,Excess added sugar is commonly limited in dietary guidance.,draft
ing_wheat_flour,Wheat Flour,core,grain flour,flour|white flour|all-purpose flour,plant,structure and bulk,bread|pasta|cakes,ancient,Wheat flour forms gluten networks that help bread rise.,Contains gluten and wheat allergen.,draft
ing_corn_starch,Cornstarch,core,starch,corn flour starch|maize starch,plant,thickening,sauces|soups|puddings,modern,Starch granules swell with heat to thicken liquids.,Usually low concern but check corn sensitivity claims carefully.,draft
ing_olive_oil,Olive Oil,core,culinary oil,extra virgin olive oil|virgin olive oil,plant,fat and flavor,salad dressing|sauteed foods|marinades,ancient,Olive oil has been central to Mediterranean food cultures for millennia.,Calorie dense like all oils.,draft
ing_canola_oil,Canola Oil,core,culinary oil,rapeseed oil|low erucic acid rapeseed oil,plant,fat and frying,baked goods|fried foods|dressings,modern,Canola is bred from rapeseed varieties with different fatty acid traits.,Highly refined versions should be labeled neutrally.,draft
ing_soybean_oil,Soybean Oil,core,culinary oil,soy oil,plant,fat and processing oil,snacks|dressings|margarine,modern,A very common packaged-food oil because it is inexpensive and neutral tasting.,Contains soy-derived material; allergen status depends on refinement and jurisdiction.,draft
ing_palm_oil,Palm Oil,core,culinary oil,palm fat|vegetable oil,plant,fat and texture,cookies|spreads|instant noodles,ancient,Palm oil is naturally semi-solid and useful for texture.,Sustainability varies widely by sourcing.,draft
ing_butter,Butter,core,dairy fat,cream butter|sweet cream butter,animal,fat and flavor,baking|sauces|toast,ancient,Butter is concentrated milk fat with water and milk solids.,Contains milk allergen and saturated fat.,draft
ing_milk,Milk,core,dairy,whole milk|skim milk|cow milk,animal,liquid base and nutrients,cereal|sauces|baking,prehistoric,Dairy use expanded after animal domestication.,Contains milk allergen and lactose.,draft
ing_egg,Egg,core,animal protein,whole egg|egg white|egg yolk,animal,binding and emulsification,baked goods|mayonnaise|breakfast,prehistoric,Eggs can bind, foam, enrich, and emulsify foods.,Contains egg allergen.,draft
ing_yeast,Yeast,core,leavening microbe,bakers yeast|saccharomyces cerevisiae,microbial,fermentation and leavening,bread|beer|dough,ancient,Yeast releases carbon dioxide that helps dough rise.,Some yeast extracts are used mainly for savory flavor.,draft
ing_vinegar,Vinegar,core,acid,acetic acid vinegar|distilled vinegar,microbial,acidification and preservation,pickles|dressings|sauces,ancient,Vinegar forms when microbes convert alcohol into acetic acid.,Acidity may irritate sensitive stomachs in large amounts.,draft
ing_honey,Honey,core,natural sweetener,bee honey,animal,sweetness and browning,tea|baking|sauces,prehistoric,Honey is one of humanity's oldest sweet foods.,Not recommended for infants under one year.,draft
ing_cocoa_powder,Cocoa Powder,core,seed powder,cacao powder|unsweetened cocoa,plant,flavor and color,chocolate cake|drinks|desserts,ancient,Cocoa powder is made from roasted cacao solids after some fat is removed.,May contain natural caffeine-like compounds.,draft
ing_garlic,Garlic,core,allium,garlic powder|dehydrated garlic,plant,aroma and flavor,sauces|meats|soups,ancient,Garlic aroma comes from sulfur compounds released when cells are crushed.,Can be intense for reflux-sensitive people.,draft
ing_onion,Onion,core,allium,onion powder|dehydrated onion,plant,aroma and sweetness,soups|sauces|seasonings,ancient,Cooking onions converts sharpness into sweetness and depth.,High-FODMAP concern for some people.,draft
ing_black_pepper,Black Pepper,core,spice,pepper|piper nigrum,plant,spice heat and aroma,seasonings|sauces|meats,ancient,Piperine gives black pepper much of its bite.,Usually used in small amounts.,draft
ing_citric_acid,Citric Acid,core,acidulant,E330|lemon acid,mixed,acid flavor and pH control,drinks|candy|canned foods,ancient source modern isolated,Citric acid tastes tart and helps control acidity.,Commercial production is often fermentation-based.,draft
ing_ascorbic_acid,Ascorbic Acid,core,antioxidant,E300|vitamin C,mixed,antioxidant and nutrient,breads|juices|cured meats,modern isolated,Ascorbic acid can slow browning and add vitamin C.,Large supplemental doses are different from food-use amounts.,draft
ing_baking_soda,Baking Soda,core,leavening,sodium bicarbonate|mineral leavening,mineral,leavening and pH control,cookies|cakes|quick breads,modern,Baking soda releases carbon dioxide when acid and moisture are present.,Adds sodium.,draft
ing_baking_powder,Baking Powder,core,leavening,double acting baking powder,mixed,leavening,cakes|biscuits|pancakes,modern,Baking powder combines a base with one or more acids for reliable rise.,Check aluminum-containing variants if relevant.,draft
ing_vanilla_extract,Vanilla Extract,core,flavor,vanilla|natural vanilla,plant,aroma,desserts|drinks|baking,modern extract ancient source,Vanilla flavor comes from vanilla beans plus alcohol/water extraction.,Imitation vanilla should be categorized separately.,draft
ing_tomato_paste,Tomato Paste,core,vegetable concentrate,tomato concentrate,plant,flavor body and color,pizza sauce|soups|stews,modern,Tomato paste is tomatoes cooked down into a concentrated ingredient.,Acidic foods can bother some people.,draft
ing_rice,Rice,core,grain,white rice|brown rice,plant,staple carbohydrate,rice dishes|cereals|flours,ancient,Rice is a staple food for a large share of the world.,Arsenic content varies by region and preparation.,draft
ing_oats,Oats,core,grain,rolled oats|oat flour,plant,grain and fiber,oatmeal|granola|baking,ancient,Oats contain beta-glucan fiber that gives oatmeal its texture.,Cross-contact with gluten grains is possible unless certified.,draft
ing_potato,Potato,core,tuber,potato flakes|dehydrated potato,plant,starch and texture,fries|chips|soups,ancient Americas,Potatoes became globally important after spreading from the Andes.,Green potatoes can contain higher solanine.,draft
ing_corn,Corn,core,grain maize,maize|sweet corn,plant,starch sweetness and bulk,cereal|snacks|tortillas,ancient Americas,Corn was domesticated from teosinte.,Corn derivatives appear under many names.,draft
ing_pea_protein,Pea Protein,core,plant protein,yellow pea protein|pea isolate,plant,protein enrichment,protein bars|plant meats|shakes,modern,Pea protein is common in newer plant-based foods.,Legume sensitivity varies by person.,draft
ing_soy_protein_isolate,Soy Protein Isolate,core,plant protein,soy isolate|isolated soy protein,plant,protein enrichment,plant meats|bars|cereals,modern,Isolated soy protein is concentrated from soybeans.,Soy is a major allergen.,draft
ing_whey_protein,Whey Protein,core,dairy protein,whey concentrate|whey isolate,animal,protein enrichment,protein bars|shakes|baked goods,modern,Whey is a milk protein fraction separated during cheesemaking.,Contains milk allergen.,draft
ing_gelatin,Gelatin,core,gelling protein,collagen gelatin,animal,gelling and texture,gummies|desserts|marshmallows,modern from ancient collagen use,Gelatin forms heat-reversible gels.,Animal-derived; not vegetarian or vegan.,draft
ing_pectin,Pectin,core,gelling fiber,fruit pectin,plant,gelling and thickening,jam|jelly|fruit fillings,modern isolated,Pectin helps jams set by forming a gel with sugar and acid.,Usually plant-derived.,draft
ing_cinnamon,Cinnamon,core,spice,cassia|cinnamon bark,plant,aroma and warmth,baking|cereals|drinks,ancient,Cinnamon is bark from cinnamon-related trees.,Coumarin levels vary by type.,draft
ing_ginger,Ginger,core,spice,ginger root|ginger powder,plant,aroma and warmth,cookies|tea|sauces,ancient,Ginger's pungency changes when dried or cooked.,Strong doses may interact with some medical situations.,draft
ing_turmeric,Turmeric,core,spice,curcuma|turmeric powder,plant,color and earthy flavor,curries|mustards|rice,ancient,Turmeric's golden color comes largely from curcuminoids.,Stains easily and supplement claims should be separated from food use.,draft
ing_paprika,Paprika,core,spice,ground pepper|sweet paprika,plant,color and pepper flavor,sausages|chips|stews,modern,Paprika is made from dried ground peppers.,Heat level depends on pepper variety.,draft
ing_mustard,Mustard,core,spice condiment,mustard seed|mustard flour,plant,flavor and emulsification,condiments|dressings|marinades,ancient,Mustard's sharpness forms when seed enzymes meet water.,Mustard is an allergen in some jurisdictions.,draft
ing_sesame_seed,Sesame Seed,core,seed,sesame|benne seed,plant,flavor oil and texture,buns|tahini|snacks,ancient,Sesame is one of the oldest oilseed crops.,Sesame is a major allergen in some countries.,draft
