tracker_id,target_file,target_scope,placeholder_type,current_status,next_action,priority,notes
placeholder_0001,data/metadata/15_regulatory_status.csv,US additive rows,needs_specific_additive_check,partially_replaced,Check individual FDA Substances Added to Food Inventory rows,P0,Do not mark allowed/reviewed until exact additive row is verified
placeholder_0002,data/metadata/15_regulatory_status.csv,US color rows,needs_specific_color_check,partially_replaced,Check individual FDA color additive pages or CFR references,P0,Yellow 5 labeling note verified but color permission rows still need exact sources
placeholder_0003,data/metadata/15_regulatory_status.csv,Canada additive rows,needs_specific_additive_check,not_started,Check Health Canada Lists of Permitted Food Additives,P0,Use public Canada.ca pages only
placeholder_0004,data/metadata/16_ingredient_facts.csv,source_needed facts,needs_source,partially_replaced,Attach citation_id or keep hidden from verified UI,P0,Reviewed facts now include FDA Health Canada and OFF docs
placeholder_0005,data/metadata/17_historical_use.csv,historical estimates,draft_source_needed,not_started,Verify with public history archaeology or food-history sources,P1,Do not overstate exact dates
placeholder_0006,data/compounds/13_food_compounds.csv,compound identities,source_needed,not_started,Use PubChem pages or other public compound references,P1,Do not use unavailable database-only sources
placeholder_0007,data/metadata/14_ocr_aliases.csv,OCR aliases,needs_real_scan_data,not_started,Generate from actual OCR failures collected during app testing,P1,Keep synthetic examples until real data exists
placeholder_0008,data/metadata/18_common_combinations.csv,co-occurrence rows,needs_mined_data,not_started,Generate with scripts/mine_openfoodfacts.py from OFF exports,P1,Current rows are seed examples not frequency-backed
placeholder_0009,data/metadata/28_ingredient_quips.csv,quip coverage,fun_content,started,Expand quips to all high-frequency ingredients,P2,Keep jokes separate from facts
placeholder_0010,data/core/01_core_ingredients.csv,row expansion,content_expansion,started,Expand toward 500 common ingredients with neutral notes,P2,Add citations only where factual claims require them
