explainer_id,section,title,applies_to,short_text,expanded_text,review_status
exp_function_preservative,function,Why preservatives appear,preservative,Preservatives help food last longer.,Preservatives are used to slow spoilage quality loss or microbial growth. The exact role depends on the ingredient and food type.,reviewed
exp_function_emulsifier,function,Why emulsifiers appear,emulsifier,Emulsifiers improve texture and mixing.,Emulsifiers help ingredients that normally separate such as oil and water remain evenly distributed. They can improve creaminess softness and shelf stability.,reviewed
exp_function_thickener,function,Why thickeners appear,thickener,Thickeners control texture.,Thickeners gums and starches change how a food flows gels or holds particles in suspension. Small amounts can have a large texture effect.,reviewed
exp_function_acid,function,Why acids appear,acidulant,Food acids add tartness and balance pH.,Acidulants such as citric malic lactic and acetic acid create sourness and help foods keep a consistent acidity profile.,reviewed
exp_function_color,function,Why colors appear,color,Colors restore or create appearance.,Color ingredients may make food more visually consistent replace color lost in processing or create a specific brand appearance.,reviewed
exp_function_sweetener,function,Why sweeteners appear,sweetener,Sweeteners provide sweetness in different ways.,Some sweeteners add sugar and bulk while high-intensity sweeteners add sweetness with little bulk. Sugar alcohols sit between those categories.,reviewed
exp_function_leavening,function,Why leaveners appear,leavening_agent,Leaveners help baked foods rise.,Leavening ingredients help create air pockets or lift in baked goods. They can affect texture browning and flavor.,reviewed
exp_allergen_badge,safety,Allergen badge,allergen,This item may matter for people avoiding a specific allergen.,Allergen badges should preserve the exact matched ingredient and show the relevant allergen family such as milk egg soy wheat peanut tree nut fish shellfish sesame mustard or sulfites.,reviewed
exp_gluten_badge,safety,Gluten context,gluten,Gluten and wheat are related but not identical filters.,Wheat allergy and gluten avoidance should be shown separately when possible because an ingredient can be relevant to one or both concerns.,reviewed
exp_jurisdiction,safety,Jurisdiction note,regulatory_status,Rules vary by country.,Food additive names permissions and warning requirements can vary by country. The app should avoid universal claims unless the jurisdiction is known.,reviewed
exp_unknown_term,scan,Unknown ingredient term,unmatched,The scanner did not recognize this term yet.,Unknown terms should be saved with the original OCR text so they can improve the alias database and matching model over time.,reviewed
exp_low_confidence,scan,Low-confidence OCR match,low_confidence,The scanner may have misread this term.,Low-confidence matches should show both the original text and the suggested ingredient so the user can correct it.,reviewed
exp_reviewed_status,data_quality,Reviewed content,reviewed,This entry is ready for general app display.,Reviewed content means the row has stable educational wording and does not make unsupported medical claims.,reviewed
exp_draft_status,data_quality,Draft content,draft,This entry is useful but not final.,Draft content can support matching and general education but should avoid strong safety regulatory or medical statements.,reviewed
exp_source_needed,data_quality,Source-backed content needed,source_gap,This entry needs authoritative backing before strong claims are shown.,Rows requiring source support should remain in the database for matching but should show neutral function notes until citations are added.,reviewed
