quip_id,ingredient_id,canonical_name,quip_type,quip_text,tone,show_context,review_status
quip_0001,ing_water,Water,one_liner,Water keeps it fluid. Literally.,light,ingredient_detail,draft
quip_0002,ing_salt,Salt,one_liner,Salt is the original flavor influencer.,light,ingredient_detail,draft
quip_0003,ing_sugar,Sugar,one_liner,Sugar shows up and suddenly everyone is having dessert feelings.,light,ingredient_detail,draft
quip_0004,ing_wheat_flour,Wheat Flour,one_liner,Wheat flour is basically architecture for bread.,light,ingredient_detail,draft
quip_0005,ing_butter,Butter,one_liner,Butter does not fix everything but it keeps applying for the job.,light,ingredient_detail,draft
quip_0006,ing_olive_oil,Olive Oil,one_liner,Olive oil walks into a salad and immediately becomes classy.,light,ingredient_detail,draft
quip_0007,ing_milk,Milk,one_liner,Milk brings calcium and main-character cereal energy.,light,ingredient_detail,draft
quip_0008,ing_egg,Egg,one_liner,Eggs bind ingredients and breakfast opinions.,light,ingredient_detail,draft
quip_0009,ing_baking_soda,Baking Soda,one_liner,Baking soda rises to the occasion after meeting acid.,light,ingredient_detail,draft
quip_0010,ing_yeast,Yeast,one_liner,Yeast is tiny but dramatic enough to lift an entire loaf.,light,ingredient_detail,draft
quip_0011,ing_vanilla,Vanilla,one_liner,Vanilla is only boring to people who have never met a vanilla orchid.,light,ingredient_detail,draft
quip_0012,ing_cocoa_powder,Cocoa Powder,one_liner,Cocoa powder is chocolate before it gets dressed up.,light,ingredient_detail,draft
quip_0013,ing_cinnamon,Cinnamon,one_liner,Cinnamon makes toast feel like it got invited to a holiday party.,light,ingredient_detail,draft
quip_0014,ing_black_pepper,Black Pepper,one_liner,Black pepper sneezed its way into culinary history.,light,ingredient_detail,draft
quip_0015,ing_garlic,Garlic,one_liner,Garlic is what vampires call a hostile work environment.,light,ingredient_detail,draft
quip_0016,ing_onion,Onion,one_liner,Onions are proof that vegetables can have emotional range.,light,ingredient_detail,draft
quip_0017,ing_vinegar,Vinegar,one_liner,Vinegar is wine that chose a sharper career path.,light,ingredient_detail,draft
