ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_cheddar_cheese,Cheddar Cheese,dairy,cheese,cheddar|cheddar cheese powder,animal,flavor fat protein and color,snacks|sauces|frozen meals,modern from ancient cheese use,Cheddar ingredients add dairy flavor fat protein and orange-yellow color depending on the product.,Contains milk allergen.,reviewed
ing_mozzarella_cheese,Mozzarella Cheese,dairy,cheese,mozzarella|part skim mozzarella,animal,melt stretch and dairy flavor,pizza|frozen meals|snacks,modern from ancient cheese use,Mozzarella is valued for melt and stretch in prepared foods.,Contains milk allergen.,reviewed
ing_parmesan_cheese,Parmesan Cheese,dairy,cheese,parmesan|parmesan powder,animal,salty savory dairy flavor,pasta|sauces|snacks,modern from ancient cheese use,Parmesan adds salty umami-rich dairy flavor to sauces and seasonings.,Contains milk allergen and is usually high in salt.,reviewed
ing_cream,Cream,dairy,dairy fat,heavy cream|light cream|sweet cream,animal,fat richness and body,sauces|desserts|soups,ancient,Cream adds dairy fat richness body and smooth texture.,Contains milk allergen and lactose unless specially processed.,reviewed
ing_buttermilk,Buttermilk,dairy,cultured dairy,cultured buttermilk|buttermilk powder,animal,acid dairy flavor and baking function,pancakes|biscuits|dressings,ancient,Buttermilk adds tangy dairy flavor and acidity for baking and dressings.,Contains milk allergen.,reviewed
ing_skim_milk_powder,Skim Milk Powder,dairy,dried milk,nonfat dry milk|milk powder,animal,dairy solids protein and browning,baked goods|chocolate|sauces,modern,Skim milk powder adds dairy solids protein and browning without much fat.,Contains milk allergen and lactose.,reviewed
ing_evaporated_milk,Evaporated Milk,dairy,concentrated milk,unsweetened condensed milk,animal,creaminess and dairy body,sauces|desserts|soups,modern,Evaporated milk is concentrated milk with a cooked dairy flavor.,Contains milk allergen and lactose.,reviewed
ing_sweetened_condensed_milk,Sweetened Condensed Milk,dairy,sweetened dairy,sweet condensed milk,animal,sweetness dairy body and texture,desserts|candy|coffee drinks,modern,Sweetened condensed milk combines concentrated milk with added sugar.,Contains milk allergen and significant added sugar.,reviewed
ing_chicken,Chicken,meat,poultry,chicken meat|chicken powder|chicken broth,animal,protein flavor and broth base,soups|frozen meals|snacks,prehistoric domestication,Chicken ingredients can appear as meat broth powder or flavor base.,Vegetarian and religious filters may apply.,reviewed
ing_beef,Beef,meat,red meat,beef broth|beef extract|beef powder,animal,protein flavor and broth base,soups|sauces|frozen meals,prehistoric domestication,Beef ingredients add meaty flavor protein or broth character.,Vegetarian halal kosher and religious filters may apply.,reviewed
ing_pork,Pork,meat,red meat,pork broth|ham|bacon|pork gelatin,animal,protein fat and savory flavor,sausages|soups|snacks,prehistoric domestication,Pork can appear directly as meat or indirectly through gelatin broth bacon or ham flavor.,Religious and vegetarian filters may apply.,reviewed
ing_turkey,Turkey,meat,poultry,turkey meat|turkey broth,animal,protein and savory flavor,deli meat|soups|frozen meals,ancient Americas,Turkey ingredients add poultry flavor and protein to prepared foods.,Processed turkey products may include curing salts or binders.,reviewed
ing_salmon,Fish,seafood,fish protein,salmon|tuna|cod|fish broth,animal,protein and seafood flavor,seafood meals|sauces|spreads,prehistoric,Fish terms should preserve the species name when available.,Fish is a major allergen category.,reviewed
ing_shrimp,Crustacean Shellfish,seafood,crustacean,shrimp|prawn|crab|lobster,animal,protein and seafood flavor,seafood meals|sauces|soups,prehistoric,Crustacean shellfish terms should preserve the species name when available.,Shellfish is a major allergen category.,reviewed
ing_anchovy,Anchovy,seafood,fish,anchovy paste|anchovy extract,animal,umami salty seafood flavor,caesar dressing|sauces|pizza,ancient,Anchovy ingredients add concentrated salty umami flavor even when not obvious in the food name.,Fish allergen flag applies.,reviewed
ing_fish_sauce,Fish Sauce,seafood,fermented sauce,nam pla|fish extract,animal,salty umami seasoning,sauces|soups|marinades,ancient,Fish sauce is a fermented salty seasoning rich in savory flavor.,Fish allergen and sodium content should be surfaced.,reviewed
