ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_enriched_wheat_flour,Enriched Wheat Flour,flour,wheat flour,enriched flour|white flour,plant,structure and bulk,bread|cakes|pasta,modern,Enriched wheat flour is refined wheat flour with selected nutrients added back.,Contains wheat and gluten.,reviewed
ing_whole_wheat_flour,Whole Wheat Flour,flour,wheat flour,wholemeal flour,plant,structure fiber and flavor,bread|crackers|baked goods,ancient,Whole wheat flour includes bran germ and endosperm from the wheat kernel.,Contains wheat and gluten.,reviewed
ing_semolina,Semolina,flour,wheat product,durum semolina|durum wheat semolina,plant,firm pasta texture,pasta|couscous|desserts,ancient,Semolina is a coarse durum wheat product prized for pasta texture.,Contains wheat and gluten.,reviewed
ing_rye_flour,Rye Flour,flour,grain flour,whole rye flour|dark rye flour,plant,grain flavor and structure,rye bread|crackers|sourdough,ancient,Rye flour gives dense earthy breads and supports sourdough-style baking.,Contains gluten-related proteins and is not gluten-free.,reviewed
ing_barley_flour,Barley Flour,flour,grain flour,malted barley flour|barley meal,plant,grain flavor and enzyme activity,bread|malt products|cereals,ancient,Barley flour and malted barley add grain flavor and can affect browning.,Contains gluten-related proteins and is not gluten-free.,reviewed
ing_oat_flour,Oat Flour,flour,grain flour,ground oats|whole oat flour,plant,grain flavor and moisture,baking|pancakes|snacks,ancient,Oat flour adds mild sweetness and moisture to baked foods.,Oats may need certified gluten-free status due to cross-contact.,reviewed
ing_rice_flour,Rice Flour,flour,gluten-free flour,white rice flour|brown rice flour,plant,bulk and gluten-free structure,noodles|crackers|gluten-free baking,ancient,Rice flour is common in gluten-free baking and Asian noodles.,Texture can be gritty if not finely milled.,reviewed
ing_corn_flour,Corn Flour,flour,maize flour,maize flour|fine cornmeal,plant,bulk color and corn flavor,tortillas|breading|snacks,ancient Americas,Corn flour is finely ground corn and differs from cornstarch.,Usually gluten-free but cross-contact is possible.,reviewed
ing_masa_harina,Masa Harina,flour,corn flour,masa flour|nixtamalized corn flour,plant,tortilla structure and corn flavor,tortillas|tamales|chips,ancient Americas,Masa harina is a traditional corn flour used for tortillas and tamales.,Distinct from ordinary corn flour because of its culinary role.,reviewed
ing_tapioca_flour,Tapioca Flour,starch,root starch,tapioca starch|cassava starch,plant,chewiness and thickening,boba|gluten-free baking|sauces,ancient source modern refined,Tapioca flour and tapioca starch are often the same ingredient on labels.,Adds chew and stretch in gluten-free foods.,reviewed
ing_potato_starch,Potato Starch,starch,tuber starch,potato flour starch,plant,thickening and crispness,soups|coatings|gluten-free baking,modern,Potato starch thickens quickly and can help coatings become crisp.,Different from potato flour which includes more whole-potato solids.,reviewed
ing_arrowroot_starch,Arrowroot Starch,starch,root starch,arrowroot flour,plant,thickening,sauces|puddings|gluten-free baking,ancient,Arrowroot starch is used for clear glossy thickening in some sauces and desserts.,Often chosen for simple-label starch needs.,reviewed
ing_cassava_flour,Cassava Flour,flour,root flour,yuca flour|manioc flour,plant,bulk and gluten-free baking,flatbreads|gluten-free baking|snacks,ancient Americas,Cassava flour is made from cassava root and includes more whole-root material than tapioca starch.,Use trusted food-grade products.,reviewed
ing_sorghum_flour,Sorghum Flour,flour,gluten-free grain flour,jowar flour,plant,grain flavor and structure,gluten-free baking|flatbreads|cereals,ancient,Sorghum flour is a gluten-free grain flour with mild earthy flavor.,Often blended with starches for better baking texture.,reviewed
ing_millet_flour,Millet Flour,flour,gluten-free grain flour,pearl millet flour,plant,grain flavor and bulk,flatbreads|gluten-free baking|porridge,ancient,Millet flour comes from small-seeded grains used in many traditional diets.,Can add a slightly sweet or nutty note.,reviewed
ing_buckwheat_flour,Buckwheat Flour,flour,pseudocereal flour,kasha flour,plant,earthy flavor and structure,pancakes|soba|crepes,ancient,Buckwheat is not wheat and is naturally gluten-free when uncontaminated.,Strong flavor may dominate blends.,reviewed
ing_quinoa_flour,Quinoa Flour,flour,pseudocereal flour,quinoa powder,plant,protein and grain flavor,gluten-free baking|crackers|snacks,ancient Andes,Quinoa flour adds protein and earthy flavor to gluten-free foods.,Can taste bitter if not prepared well by the supplier.,reviewed
ing_almond_flour,Almond Flour,flour,nut flour,blanched almond flour|almond meal,plant,fat protein and texture,cookies|cakes|gluten-free baking,modern from ancient almond use,Almond flour adds fat protein and tenderness to baked goods.,Contains tree nut allergen.,reviewed
ing_coconut_flour,Coconut Flour,flour,fruit fiber flour,coconut powder,plant,fiber and moisture absorption,baking|bars|desserts,modern,Coconut flour absorbs a lot of water and behaves differently from grain flour.,Coconut allergen classification varies by jurisdiction.,reviewed
