ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_yogurt_cultures,Yogurt Cultures,culture,lactic culture,Lactobacillus|Streptococcus thermophilus,microbial,fermentation and tang,yogurt|cultured dairy|smoothies,ancient,Yogurt cultures ferment milk sugars and create tangy flavor and texture.,Live culture status depends on processing and product labeling.,reviewed
ing_lactobacillus,Lactobacillus,culture,lactic bacteria,lactic acid bacteria|LAB,microbial,fermentation and acidity,yogurt|pickles|sourdough|fermented drinks,ancient,Lactobacillus is a broad group of bacteria used in many fermented foods.,Probiotic claims require strain-specific evidence.,reviewed
ing_bifidobacterium,Bifidobacterium,culture,probiotic culture,Bifidobacteria,microbial,fermented food culture,yogurt|cultured drinks|supplements,modern isolated,Bifidobacterium can appear in cultured dairy and probiotic-style foods.,Health claims must be strain-specific and source-backed.,reviewed
ing_streptococcus_thermophilus,Streptococcus Thermophilus,culture,yogurt culture,S thermophilus,microbial,fermentation,yogurt|cultured dairy,modern isolated,Streptococcus thermophilus is one of the classic yogurt starter cultures.,Do not confuse food-culture species with unrelated pathogens by name alone.,reviewed
ing_acetobacter,Acetobacter,culture,acetic bacteria,acetic acid bacteria,microbial,converts alcohol-derived ferment into vinegar flavor,vinegar|kombucha,ancient,Acetobacter-related cultures are associated with vinegar-style fermentation.,Culture presence does not guarantee live microbes in final food.,reviewed
ing_koji,Koji,culture,mold culture,Aspergillus oryzae|rice koji,microbial,fermentation starter,miso|soy sauce|sake|amazake,ancient East Asia,Koji is a fermentation starter used to develop sweetness umami and aroma in several traditional foods.,Species and food-grade culture identity matter.,reviewed
ing_miso,Miso,fermented_ingredient,fermented soybean paste,soybean paste|fermented soy paste,plant,savory fermented flavor,soups|sauces|marinades,ancient East Asia,Miso adds salty fermented umami flavor and body.,Contains soy and may contain grains depending on type.,reviewed
ing_soy_sauce,Soy Sauce,fermented_ingredient,fermented sauce,shoyu|tamari|soy sauce solids,plant,salty umami flavor,sauces|seasonings|marinades,ancient East Asia,Soy sauce is a fermented salty seasoning used for umami and color.,Contains soy and often wheat unless specified gluten-free tamari.,reviewed
ing_vinegar,Vinegar,fermented_ingredient,acid seasoning,distilled vinegar|apple cider vinegar|wine vinegar,microbial,acid and preservation,pickles|dressings|sauces,ancient,Vinegar gives sharp acidity and can help preserve pickled foods.,Acidity and flavor vary by vinegar type.,reviewed
ing_kimchi_powder,Kimchi Powder,fermented_ingredient,fermented vegetable powder,kimchi seasoning,plant,fermented spicy vegetable flavor,snacks|seasonings|soups,modern from traditional kimchi use,Kimchi powder brings fermented vegetable spice notes to dry foods.,May contain fish shellfish or wheat ingredients depending on recipe.,reviewed
ing_sauerkraut,Sauerkraut,fermented_ingredient,fermented cabbage,sour cabbage,plant,acidic fermented vegetable flavor,sandwiches|sausages|prepared meals,ancient,Sauerkraut is cabbage transformed by lactic fermentation.,Sodium can be high depending on recipe.,reviewed
ing_sourdough_starter,Sourdough Starter,culture,bread culture,sourdough culture|wild yeast starter,microbial,leavening and flavor,bread|crackers|pizza dough,ancient,Sourdough starter contains yeasts and bacteria that create rise and tangy flavor.,Not automatically gluten-free unless made from gluten-free grains.,reviewed
ing_rennet,Rennet,enzyme,coagulating enzyme,chymosin|microbial rennet,mixed,cheese coagulation,cheese|dairy products,ancient,Rennet helps milk form curds during cheesemaking.,Source may be animal microbial or fermentation-derived.,reviewed
ing_lactase,Lactase,enzyme,digestive enzyme,beta-galactosidase,microbial,breaks down lactose,lactose-free milk|dairy products,modern,Lactase is used to reduce lactose in dairy products.,Lactose-free does not mean milk-allergen-free.,reviewed
ing_amylase,Amylase,enzyme,starch enzyme,alpha-amylase,microbial,starch breakdown,bread|beer|malted foods,ancient source modern enzyme,Amylase helps convert starches into smaller sugars during food processing.,Enzyme usually supports processing rather than remaining as a main ingredient effect.,reviewed
ing_protease,Protease,enzyme,protein enzyme,proteinase,microbial,protein breakdown,meat tenderizing|cheese|baking,ancient source modern enzyme,Proteases break proteins into smaller pieces and can affect tenderness flavor or dough behavior.,Source and use vary widely.,reviewed
ing_lipase,Lipase,enzyme,fat enzyme,triacylglycerol lipase,microbial,fat breakdown and flavor development,cheese|dairy flavors|baking,modern,Lipase can help develop dairy-style flavor notes by acting on fats.,Usually used for processing or flavor development.,reviewed
ing_invertase,Invertase,enzyme,sugar enzyme,sucrase,microbial,sucrose breakdown,candy centers|confections|syrups,modern,Invertase can soften fondant-style candy centers by changing sucrose into simpler sugars.,Mostly relevant in confectionery.,reviewed
ing_pectinase,Pectinase,enzyme,fruit enzyme,pectic enzyme,microbial,breaks pectin,juice|wine|fruit processing,modern,Pectinase helps clarify juices and improve fruit processing.,Usually a processing aid rather than a consumer-facing nutrient.,reviewed
ing_transglutaminase,Transglutaminase,enzyme,protein crosslinking enzyme,meat glue|TG enzyme,microbial,protein texture binding,meat products|seafood products|plant proteins,modern,Transglutaminase can bind proteins and change texture in meat seafood or plant-protein products.,Should be explained neutrally as a texture enzyme.,reviewed
