watch_id,topic,related_terms,plain_language_explanation,app_display_rule,review_status
watch_ultra_processed_marker,Ultra-processed marker,emulsifier|stabilizer|modified starch|flavor|color|sweetener,Some ingredients are more common in highly formulated packaged foods than in home cooking.,Show as pattern insight only when several markers appear together.,reviewed
watch_hydrogenated_oil,Hydrogenated oil,hydrogenated oil|partially hydrogenated oil|shortening,Hydrogenation changes oil texture and shelf stability.,Show fat-processing badge and avoid health claims unless nutrition facts support them.,reviewed
watch_refined_oil,Refined oil,canola oil|soybean oil|corn oil|sunflower oil|vegetable oil,Refining makes oils more neutral stable and consistent for food manufacturing.,Show oil type and source when known.,reviewed
watch_phosphate_additives,Phosphate additives,sodium phosphate|calcium phosphate|phosphoric acid|SAPP,Phosphate ingredients can affect acidity texture leavening or mineral content.,Show phosphate badge and function note.,reviewed
watch_artificial_colors,Synthetic color group,Red 40|Yellow 5|Yellow 6|Blue 1|Blue 2|Green 3,Synthetic colors provide strong predictable color.,Show color badge and jurisdiction note.,reviewed
watch_natural_flavors,Flavor umbrella term,natural flavor|natural flavours|artificial flavor|flavouring,Flavor umbrella terms often do not reveal the exact mixture.,Show transparency note without implying harm.,reviewed
watch_sulfites,Sulfite preservatives,sulfur dioxide|sodium metabisulfite|potassium metabisulfite,Sulfites preserve color flavor and freshness in some foods and drinks.,Show sensitivity badge for users who track sulfites.,reviewed
watch_nitrites,Nitrite and nitrate curing salts,sodium nitrite|sodium nitrate|potassium nitrate,Nitrite and nitrate ingredients are commonly associated with cured meats.,Show curing/preservation context and avoid overclaiming without product details.,reviewed
watch_sugar_stack,Multiple sugar terms,sugar|dextrose|glucose|fructose|corn syrup|honey|molasses,Labels can list several sweeteners separately.,Group sugar-related terms so users can see the overall sweetener pattern.,reviewed
watch_polyol_stack,Sugar alcohol group,erythritol|xylitol|sorbitol|maltitol|isomalt|mannitol,Sugar alcohols can appear together in reduced-sugar foods.,Show polyol group note and digestion caveat.,reviewed
watch_fiber_stack,Added fiber group,inulin|soluble corn fiber|polydextrose|oat fiber|wheat fiber,Added fibers improve fiber numbers and texture.,Show added-fiber note and digestion caveat.,reviewed
watch_allium_fodmap,Allium terms,onion|garlic|shallot|leek|chives,Allium ingredients are common flavor bases and may matter for FODMAP-sensitive users.,Show optional allium filter only when user enables it.,reviewed
watch_caffeine_sources,Caffeine sources,caffeine|coffee extract|green tea extract|guarana,Caffeine can appear directly or through botanical extracts.,Show stimulant/caffeine note when detected.,reviewed
watch_pet_unsafe_xylitol,Xylitol pet hazard,xylitol,Xylitol is safe for many human foods but dangerous to dogs.,Always show pet-safety warning if xylitol is detected.,reviewed
watch_hidden_allergen_source,Hidden allergen source,casein|whey|albumin|lecithin|hydrolyzed soy protein|semolina,Some ingredient names imply allergen sources that are not obvious to all users.,Map hidden terms to allergen badges.,reviewed
