ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_calcium,Calcium,mineral,essential mineral,calcium carbonate|calcium citrate|mineral calcium,mineral,nutrient fortification,plant milks|juice|cereal,ancient source modern isolated,Calcium appears in fortified foods as several salts.,Absorption and health claims vary by form and context.,needs_source
ing_iron,Iron,mineral,essential mineral,ferrous sulfate|ferrous fumarate|reduced iron,mineral,nutrient fortification,flour|cereal|infant foods,ancient source modern isolated,Iron is often added to enriched grains and cereals.,Too much iron can be harmful for some people; claims need care.,needs_source
ing_potassium,Potassium,mineral,essential mineral,potassium chloride|potassium citrate,mineral,nutrient and salt replacement,low-sodium foods|sports drinks|soups,ancient source modern isolated,Potassium chloride can replace some sodium chloride in lower-sodium foods.,Kidney-related cautions need precise wording.,needs_source
ing_magnesium,Magnesium,mineral,essential mineral,magnesium oxide|magnesium citrate|mineral magnesium,mineral,nutrient fortification,cereal|drinks|supplements,ancient source modern isolated,Magnesium appears in fortified foods and mineral blends.,Supplement claims and laxative effects vary by form.,needs_source
ing_zinc,Zinc,mineral,essential mineral,zinc oxide|zinc sulfate|zinc gluconate,mineral,nutrient fortification,cereal|bars|drinks,modern isolated,Zinc salts are common in fortified foods and supplements.,Excess zinc can affect copper balance; cite carefully.,needs_source
ing_iodine,Iodine,mineral,essential mineral,potassium iodide|potassium iodate|iodized salt,mineral,nutrient fortification,salt|bread|dairy,modern isolated,Iodized salt is a major public-health fortification example.,Thyroid-related claims need careful sourcing.,needs_source
ing_selenium,Selenium,mineral,trace mineral,sodium selenite|selenium yeast,mineral,nutrient fortification,cereal|supplements|formula,modern isolated,Selenium is needed only in trace amounts.,Excess intake risk means claims require source review.,needs_source
ing_copper,Copper,mineral,trace mineral,copper gluconate|cupric sulfate,mineral,nutrient fortification,cereal|supplements|formula,ancient source modern isolated,Copper can appear as a trace mineral fortifier.,High intake can be harmful; source review required.,needs_source
ing_manganese,Manganese,mineral,trace mineral,manganese sulfate|manganese gluconate,mineral,nutrient fortification,cereal|supplements|formula,modern isolated,Manganese appears in trace mineral blends.,Avoid neurological claims without source review.,needs_source
ing_chromium,Chromium,mineral,trace mineral,chromium chloride|chromium picolinate,mineral,nutrient fortification,drinks|supplements|bars,modern isolated,Chromium is sometimes added to diet and sports products.,Blood-sugar claims require strong evidence review.,needs_source
ing_molybdenum,Molybdenum,mineral,trace mineral,sodium molybdate,mineral,nutrient fortification,supplements|formula|fortified foods,modern isolated,Molybdenum is a trace mineral found in some fortification formulas.,Usually not common on ordinary labels.,needs_source
ing_sodium,Sodium,mineral,electrolyte,salt|sodium chloride|mineral sodium,mineral,flavor electrolyte and preservation,soups|snacks|sauces,prehistoric,Sodium is essential but also heavily tracked on nutrition labels.,High sodium intake is a common dietary concern.,needs_source
ing_chloride,Chloride,mineral,electrolyte,sodium chloride|potassium chloride,mineral,electrolyte and salt component,salt|soups|sports drinks,prehistoric,Chloride usually appears paired with sodium or potassium.,Rarely listed separately except in formulas.,needs_source
ing_phosphorus,Phosphorus,mineral,essential mineral,phosphate|calcium phosphate|sodium phosphate,mineral,nutrient and processing function,cola|cheese|processed meats,ancient source modern isolated,Phosphorus appears both naturally and as phosphate additives.,Kidney-related context requires careful wording.,needs_source
ing_fluoride,Fluoride,mineral,trace mineral,sodium fluoride|mineral fluoride,mineral,dental-related fortification,water|salt|tea,modern isolated,Fluoride is more often a water or salt fortification topic than a normal ingredient-list item.,Regulatory context varies strongly.,needs_source
ing_silicon,Silicon,mineral,trace element,silica|silicon dioxide,mineral,anti-caking or trace element,spices|powders|supplements,modern isolated,Silicon dioxide is often used to keep powders flowing.,As a nutrient topic it needs separate evidence review.,needs_source
ing_boron,Boron,mineral,trace element,boric mineral forms,mineral,trace nutrient discussion,supplements|plant foods,modern isolated,Boron appears mostly in supplements rather than ordinary food ingredient lists.,Avoid health claims without review.,needs_source
ing_nickel,Nickel,mineral,trace element,nickel salts,mineral,trace contaminant or nutrient discussion,plant foods|chocolate|nuts,ancient source,Nickel is more relevant as a trace exposure than an intentional food ingredient.,Sensitivity and contaminant context need review.,needs_source
ing_cobalt,Cobalt,mineral,trace element,cobalamin component,mineral,trace nutrient via B12,fortified foods|supplements,modern isolated,Cobalt is part of vitamin B12 chemistry.,Usually tracked through B12 rather than as cobalt itself.,needs_source
ing_sulfur,Sulfur,mineral,element,sulfates|sulfites|mineral sulfur,mineral,component of amino acids and additives,alliums|eggs|preserved foods,prehistoric,Sulfur occurs naturally in foods and in some additives.,Sulfites are a separate sensitivity category.,needs_source
