ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_milk_allergen,Milk,allergen,major allergen,dairy|casein|whey|lactose,animal,food ingredient and allergen flag,cheese|yogurt|baked goods,prehistoric,Milk terms include casein and whey which matter for label scanning.,Allergen labeling must follow user jurisdiction.,needs_source
ing_egg_allergen,Egg,allergen,major allergen,albumen|egg white|egg yolk,animal,binding and allergen flag,baked goods|mayonnaise|pasta,prehistoric,Egg can appear as albumen lysozyme or lecithin in labels.,Allergen labeling must be precise.,needs_source
ing_fish_allergen,Fish,allergen,major allergen,anchovy|cod|salmon|tuna,animal,protein food and allergen flag,sauces|seafood|omega products,prehistoric,Fish can appear in sauces and flavorings as well as obvious seafood.,Species names should be captured.,needs_source
ing_shellfish_allergen,Crustacean Shellfish,allergen,major allergen,shrimp|crab|lobster|prawn,animal,protein food and allergen flag,seafood|sauces|stocks,prehistoric,Shellfish terms often appear by species name.,Mollusk rules differ by region.,needs_source
ing_peanut_allergen,Peanut,allergen,major allergen,groundnut|arachis oil,plant,food ingredient and allergen flag,candy|sauces|snacks,ancient Americas,Peanuts are legumes even though labels group them separately from tree nuts.,Highly important allergen flag.,needs_source
ing_tree_nut_allergen,Tree Nuts,allergen,major allergen,almond|walnut|cashew|pecan|hazelnut|pistachio,plant,food ingredient and allergen flag,bars|desserts|spreads,prehistoric,Tree nut detection should preserve the specific nut name.,Coconut classification varies by jurisdiction.,needs_source
ing_soy_allergen,Soy,allergen,major allergen,soybean|soy lecithin|soy protein|edamame,plant,food ingredient and allergen flag,sauces|plant protein|baked goods,ancient, Soy hides under protein isolate lecithin sauce and flour terms.,Refined oil and lecithin labeling rules vary.,needs_source
ing_wheat_allergen,Wheat,allergen,major allergen,wheat flour|semolina|durum|spelt,plant,food ingredient and allergen flag,bread|pasta|cereal,ancient,Wheat scanning should distinguish wheat allergy from gluten-free needs.,Includes gluten but is not identical to all gluten sources.,needs_source
ing_sesame_allergen,Sesame,allergen,major allergen,tahini|sesame oil|sesame seed,plant,food ingredient and allergen flag,buns|hummus|snacks,ancient,Sesame is increasingly highlighted in modern allergen rules.,Label priority varies by jurisdiction.,needs_source
ing_mustard_allergen,Mustard,allergen,regional major allergen,mustard seed|mustard flour|mustard oil,plant,flavor ingredient and allergen flag,condiments|dressings|spice blends,ancient,Mustard is a priority allergen in some countries including Canada and the EU.,Not always highlighted in every market.,needs_source
ing_sulfites_allergen,Sulfites,allergen_like_sensitivity,regulated sensitivity,sulfur dioxide|metabisulfite|sulfiting agents,synthetic,preservative sensitivity flag,wine|dried fruit|shrimp,ancient source modern additive,Sulfites are preservatives and can matter for sensitive individuals.,Threshold and label rules vary by country.,needs_source
ing_lupin_allergen,Lupin,allergen,regional major allergen,lupine|lupin flour,plant,protein and flour,gluten-free bakery|pasta|plant protein,ancient,Lupin flour can appear in gluten-free and high-protein foods.,Cross-reactivity with peanut is sometimes discussed; cite carefully.,needs_source
ing_celery_allergen,Celery,allergen,regional major allergen,celeriac|celery seed|celery salt,plant,flavor and vegetable ingredient,soups|seasonings|stocks,ancient,Celery is a priority allergen in some jurisdictions.,Often hidden in spice or broth terms.,needs_source
ing_gluten,Gluten,allergen_or_intolerance,protein family,wheat gluten|barley|rye|malt,plant,structure and texture,bread|seitan|beer,ancient,Gluten is a protein family relevant for celiac and gluten-free scanning.,Not all gluten concerns are wheat allergy.,needs_source
