ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_caffeine,Caffeine,beverage_compound,stimulant alkaloid,anhydrous caffeine|natural caffeine,mixed,bitter stimulant ingredient,energy drinks|sodas|shots|gels,modern isolated,Caffeine can be added directly or arrive through coffee tea guarana or yerba mate ingredients.,Sensitivity varies and amount matters.,reviewed
ing_coffee_extract,Coffee Extract,beverage_base,botanical extract,coffee solids|instant coffee|coffee concentrate,plant,coffee flavor and caffeine,drinks|desserts|protein shakes,modern beverage ancient plant use,Coffee extract adds roasted coffee flavor and may contribute caffeine.,Caffeine amount is not obvious from ingredient name alone.,reviewed
ing_green_tea_extract,Green Tea Extract,beverage_base,tea extract,tea solids|green tea powder,plant,tea flavor and botanical solids,drinks|bars|supplements,ancient source modern extract,Green tea extract can provide tea flavor bitterness and botanical compounds.,Caffeine and catechin amounts vary by extract.,reviewed
ing_black_tea,Black Tea,beverage_base,tea,black tea extract|tea powder,plant,tea flavor color and caffeine,iced tea|drinks|desserts,ancient,Black tea adds tannic tea flavor color and caffeine.,Caffeine amount depends on concentration and serving size.,reviewed
ing_matcha,Matcha,beverage_base,green tea powder,matcha powder,plant,tea flavor color and caffeine,drinks|desserts|ice cream,ancient Japan,Matcha is powdered green tea that adds bright color and tea flavor.,Caffeine amount depends on recipe and serving size.,reviewed
ing_yerba_mate,Yerba Mate,beverage_base,botanical tea,mate extract|ilex paraguariensis,plant,herbal tea flavor and caffeine,energy drinks|teas|shots,ancient South America,Yerba mate can add herbal bitter flavor and caffeine.,Caffeine amount should be shown when available from nutrition data.,reviewed
ing_guarana,Guarana,beverage_base,botanical caffeine source,guarana extract|paullinia cupana,plant,caffeine source and flavor,energy drinks|sodas|supplements,traditional Amazonian use,Guarana is a botanical caffeine source used in energy drinks.,Caffeine contribution can be hidden if only the botanical name appears.,reviewed
ing_cocoa_extract,Cocoa Extract,beverage_base,cocoa ingredient,cocoa powder|cocoa solids|cacao extract,plant,chocolate flavor and bitterness,drinks|desserts|bars,ancient Americas,Cocoa ingredients add chocolate flavor color and bitterness.,Can contain small amounts of caffeine-like methylxanthines.,reviewed
ing_chicory_root,Chicory Root,beverage_base,root ingredient,chicory|roasted chicory|chicory fiber,plant,roasted flavor or fiber,coffee substitutes|bars|cereals,modern from traditional use,Roasted chicory can provide coffee-like bitter roasted flavor and chicory root can provide inulin fiber.,Fiber and flavor uses should be distinguished.,reviewed
ing_malt_extract,Malt Extract,beverage_base,grain extract,barley malt extract|malt syrup,plant,sweetness color and malt flavor,cereal|bread|drinks|candy,ancient source modern extract,Malt extract adds grain sweetness brown color and malty flavor.,Usually barley-derived and not gluten-free unless specified.,reviewed
ing_fruit_juice_concentrate,Fruit Juice Concentrate,beverage_base,concentrated juice,apple juice concentrate|grape juice concentrate|pear juice concentrate,plant,sweetness fruit flavor and color,drinks|bars|snacks|sauces,modern,Fruit juice concentrate can add fruit identity and sweetness.,It can function like added sugar depending on use.,reviewed
ing_coconut_water,Coconut Water,beverage_base,plant water,coconut juice,plant,beverage base and electrolytes,drinks|smoothies|hydration products,ancient,Coconut water adds mild sweetness and mineral taste to beverages.,Electrolyte claims depend on actual nutrition values.,reviewed
ing_oat_milk,Oat Milk,beverage_base,plant milk,oat beverage|oat drink,plant,creamy base and grain flavor,coffee drinks|cereal|smoothies,modern,Oat milk provides creamy grain flavor and is common in dairy alternatives.,May contain added oils gums sugars or enzymes depending on brand.,reviewed
ing_almond_milk,Almond Milk,beverage_base,plant milk,almond beverage|almond drink,plant,nutty dairy alternative,coffee drinks|cereal|smoothies,modern from older almond drinks,Almond milk provides mild nut flavor and a dairy-free base.,Contains almond tree nut ingredient unless filtered labeling says otherwise.,reviewed
ing_soy_milk,Soy Milk,beverage_base,plant milk,soy beverage|soya drink,plant,protein-rich dairy alternative,coffee drinks|cereal|smoothies,ancient East Asia,Soy milk provides plant protein and creamy texture.,Contains soy allergen.,reviewed
ing_rice_milk,Rice Milk,beverage_base,plant milk,rice beverage|rice drink,plant,mild dairy alternative,cereal|drinks|smoothies,modern,Rice milk is a mild plant-based beverage often lower in protein than soy milk.,Nutrition depends heavily on fortification.,reviewed
ing_electrolyte_blend,Electrolyte Blend,beverage_additive,mineral blend,sodium chloride|potassium citrate|magnesium salts,mixed,mineral taste and hydration positioning,sports drinks|hydration powders|gels,modern,Electrolyte blends combine mineral salts for taste and nutrition positioning.,Benefits depend on amount use case and user needs.,reviewed
ing_carbonated_water,Carbonated Water,beverage_base,water,sparkling water|seltzer water,mineral,beverage base and bubbles,sodas|sparkling drinks|mixers,modern,Carbonated water adds bubbles and sharp mouthfeel.,Acidity depends on carbonation and added acids.,reviewed
