ingredient_id,canonical_name,category,subcategory,common_aliases,source_type,functional_purpose,common_foods,history_estimate,app_note,risk_note,review_status
ing_msg,Monosodium Glutamate,flavor_enhancer,glutamate,MSG|E621|sodium glutamate,mixed,umami flavor,soups|chips|seasonings,modern isolated,MSG is the sodium salt of glutamic acid and is used for savory umami flavor.,Consumer claims are often overstated; use sourced balanced wording.,needs_source
ing_disodium_inosinate,Disodium Inosinate,flavor_enhancer,nucleotide,E631|IMP,mixed,umami synergy,snacks|instant noodles|seasonings,modern,Often used with MSG to boost savory flavor.,Source can be animal or microbial and may matter for diet filters.,needs_source
ing_disodium_guanylate,Disodium Guanylate,flavor_enhancer,nucleotide,E627|GMP,mixed,umami synergy,snacks|instant noodles|seasonings,modern,Works synergistically with glutamates for a stronger savory taste.,Source and dietary suitability need review.,needs_source
ing_disodium_ribonucleotides,Disodium Ribonucleotides,flavor_enhancer,nucleotide blend,E635|I+G,mixed,umami synergy,chips|soups|seasonings,modern,A blend commonly used with MSG-like savory systems.,Source and labeling context should be reviewed.,needs_source
ing_yeast_extract,Yeast Extract,flavor_enhancer,autolyzed yeast,autolyzed yeast extract|yeast autolysate,microbial,umami and savory flavor,soups|sauces|plant meats,modern,Yeast extract naturally contains glutamate-rich savory compounds.,Can be used when brands want savory flavor without listing MSG.,needs_source
ing_hydrolyzed_vegetable_protein,Hydrolyzed Vegetable Protein,flavor_enhancer,hydrolyzed protein,HVP|hydrolyzed soy protein|hydrolyzed corn protein,plant,savory flavor,soups|sauces|seasonings,modern,Hydrolysis breaks proteins into savory amino-acid-rich mixtures.,Allergen source must be tracked if soy wheat or other sources are used.,needs_source
ing_autolyzed_yeast,Autolyzed Yeast,flavor_enhancer,yeast derivative,autolyzed yeast extract,microbial,savory flavor,snacks|soups|sauces,modern,Autolyzed yeast is yeast broken down to release flavor compounds.,Overlaps with yeast extract; normalize carefully.,needs_source
ing_maltodextrin,Maltodextrin,flavor_carrier,carbohydrate carrier,dextrin|corn maltodextrin,plant,carrier bulking and texture,seasoning mixes|powders|snacks,modern,Maltodextrin often carries flavors and improves powder flow.,It is a rapidly digestible carbohydrate; glycemic claims need sourcing.,needs_source
ing_maltol,Maltol,flavor_enhancer,aroma compound,E636,mixed,sweet caramel-like aroma,baked goods|candy|flavorings,modern isolated,Maltol adds sweet roasted caramel-like notes.,Use as flavor not nutrition.,draft
ing_ethyl_maltol,Ethyl Maltol,flavor_enhancer,aroma compound,E637,synthetic,sweet aroma enhancement,candy|drinks|desserts,modern,Ethyl maltol gives cotton-candy-like sweet aroma at low levels.,Needs additive status review by jurisdiction.,needs_source
ing_smoke_flavor,Natural Smoke Flavor,flavor_enhancer,smoke flavor,liquid smoke|smoke flavouring,mixed,smoky flavor,sauces|meats|snacks,modern,Smoke flavor can be made by condensing and filtering wood smoke.,Specific smoke flavoring regulations vary by jurisdiction.,needs_source
ing_natural_flavors,Natural Flavors,flavor_enhancer,flavor blend,natural flavour|natural flavoring,mixed,flavor,drinks|snacks|desserts,modern,A broad label term for flavoring substances from natural sources under legal definitions.,Not automatically healthier; exact components usually proprietary.,needs_source
ing_artificial_flavors,Artificial Flavors,flavor_enhancer,flavor blend,artificial flavour|synthetic flavoring,synthetic,flavor,drinks|snacks|desserts,modern,A broad label term for synthetic flavoring substances.,Specific compounds are usually not disclosed on consumer labels.,needs_source
ing_hydrolyzed_yeast_protein,Hydrolyzed Yeast Protein,flavor_enhancer,hydrolyzed protein,yeast protein hydrolysate,microbial,savory flavor,seasonings|soups|sauces,modern,Hydrolyzed yeast protein adds savory notes from broken-down proteins.,Normalize near yeast extract but keep separate where labels do.,needs_source
ing_soy_sauce_powder,Soy Sauce Powder,flavor_enhancer,fermented seasoning,dehydrated soy sauce|soy sauce solids,plant,salty umami flavor,seasonings|snacks|instant noodles,modern from ancient soy sauce use,Soy sauce powder carries fermented salty umami flavor into dry products.,Soy and wheat allergen status must be tracked.,needs_source
ing_torula_yeast,Torula Yeast,flavor_enhancer,yeast ingredient,candida utilis yeast,microbial,savory flavor,plant meats|seasonings|pet foods,modern,Torula yeast can provide savory meaty flavor notes.,Needs source and allergen review.,needs_source
ing_mushroom_extract,Mushroom Extract,flavor_enhancer,natural umami extract,mushroom powder|shiitake extract,plant,savory umami flavor,soups|sauces|plant meats,ancient source modern extract,Mushroom extracts add natural umami compounds.,Allergy and sensitivity claims should be cautious.,draft
ing_kombu_extract,Kombu Extract,flavor_enhancer,seaweed umami,kelp extract|seaweed extract,plant,savory umami flavor,broths|soups|seasonings,ancient,Kombu is naturally rich in glutamates and central to dashi.,Iodine content may matter if concentrated; source review needed.,needs_source
